order_idx,arm,policy,ctx,target,prompt_tokens,round,rc,measured_steps,kv_used_mean,n_spill_mean,context_mean,ms_mean,ms_median,ms_sd,flash_attn,duration_s,t_start
1,p3_dev,3,1024,1024,2048,1,0,96,1024,1103.5,2127.5,15.347,15.399,0.241,disabled,5.6,2026-09-23T18:46:24
2,p0_resident,0,16384,1024,2048,1,0,96,2127.5,0,2127.5,13.844,13.826,0.28,disabled,4.6,2026-09-23T18:49:50
3,p0_resident,0,16384,0,512,1,0,96,591.5,0,591.5,11.717,11.717,0.263,disabled,2.6,2026-09-23T18:53:16
4,p3_dev,3,1024,2048,3072,1,0,96,1024,2127.5,3151.5,16.918,16.857,0.304,disabled,6.7,2026-09-23T18:56:39
5,p3_dev,3,1024,4096,5120,1,0,96,1024,4175.5,5199.5,20.084,20.06,0.33,disabled,11.7,2026-09-23T19:00:06
6,p0_resident,0,16384,512,1536,1,0,96,1615.5,0,1615.5,13.157,13.166,0.298,disabled,4.1,2026-09-23T19:03:38
7,p3_dev,3,1024,512,1536,1,0,96,1024,591.5,1615.5,14.642,14.622,0.298,disabled,4.1,2026-09-23T19:07:03
8,p3_dev,3,1024,8192,9216,1,0,96,1024,8271.5,9295.5,26.378,26.366,0.327,disabled,25.0,2026-09-23T19:10:28
9,p0_resident,0,16384,4096,5120,1,0,96,5199.5,0,5199.5,18.182,18.105,0.328,disabled,8.8,2026-09-23T19:14:13
10,p0_resident,0,16384,2048,3072,1,0,96,3151.5,0,3151.5,15.261,15.219,0.299,disabled,5.7,2026-09-23T19:17:43
11,p0_resident,0,16384,8192,9216,1,0,96,9295.5,0,9295.5,23.983,23.968,0.309,disabled,16.4,2026-09-23T19:21:09
12,p0_resident,0,16384,512,1536,2,0,96,1615.5,0,1615.5,13.119,13.155,0.239,disabled,3.6,2026-09-23T19:24:46
13,p0_resident,0,16384,8192,9216,2,0,96,9295.5,0,9295.5,24.017,24.008,0.294,disabled,16.3,2026-09-23T19:28:10
14,p0_resident,0,16384,1024,2048,2,0,96,2127.5,0,2127.5,13.82,13.787,0.271,disabled,4.7,2026-09-23T19:31:47
15,p3_dev,3,1024,1024,2048,2,0,96,1024,1103.5,2127.5,15.367,15.287,0.466,disabled,5.2,2026-09-23T19:35:12
16,p3_dev,3,1024,4096,5120,2,0,96,1024,4175.5,5199.5,20.096,20.103,0.271,disabled,11.8,2026-09-23T19:38:38
17,p3_dev,3,1024,512,1536,2,0,96,1024,591.5,1615.5,14.627,14.596,0.349,disabled,4.2,2026-09-23T19:42:11
18,p0_resident,0,16384,4096,5120,2,0,96,5199.5,0,5199.5,18.188,18.178,0.303,disabled,9.2,2026-09-23T19:45:35
19,p0_resident,0,16384,2048,3072,2,0,96,3151.5,0,3151.5,15.277,15.302,0.262,disabled,5.7,2026-09-23T19:49:05
20,p3_dev,3,1024,2048,3072,2,0,96,1024,2127.5,3151.5,16.918,16.94,0.305,disabled,6.7,2026-09-23T19:52:31
21,p0_resident,0,16384,0,512,2,0,96,591.5,0,591.5,11.881,11.808,0.523,disabled,2.6,2026-09-23T19:55:59
22,p3_dev,3,1024,8192,9216,2,0,96,1024,8271.5,9295.5,26.431,26.413,0.368,disabled,25.3,2026-09-23T19:59:22
23,p0_resident,0,16384,512,1536,3,0,96,1615.5,0,1615.5,13.091,13.11,0.27,disabled,3.7,2026-09-23T20:03:08
24,p3_dev,3,1024,2048,3072,3,0,96,1024,2127.5,3151.5,16.915,16.931,0.263,disabled,6.7,2026-09-23T20:06:32
25,p3_dev,3,1024,1024,2048,3,0,96,1024,1103.5,2127.5,15.385,15.283,0.801,disabled,5.2,2026-09-23T20:09:59
26,p3_dev,3,1024,4096,5120,3,0,96,1024,4175.5,5199.5,20.155,20.13,0.327,disabled,11.8,2026-09-23T20:13:25
27,p0_resident,0,16384,1024,2048,3,0,96,2127.5,0,2127.5,13.834,13.793,0.282,disabled,4.7,2026-09-23T20:16:57
28,p0_resident,0,16384,4096,5120,3,0,96,5199.5,0,5199.5,18.193,18.132,0.328,disabled,9.2,2026-09-23T20:20:23
29,p3_dev,3,1024,512,1536,3,0,96,1024,591.5,1615.5,14.636,14.621,0.371,disabled,4.1,2026-09-23T20:23:53
30,p3_dev,3,1024,8192,9216,3,0,96,1024,8271.5,9295.5,26.357,26.316,0.418,disabled,25.0,2026-09-23T20:27:17
31,p0_resident,0,16384,2048,3072,3,0,96,3151.5,0,3151.5,15.272,15.305,0.273,disabled,6.2,2026-09-23T20:31:03
32,p0_resident,0,16384,8192,9216,3,0,96,9295.5,0,9295.5,23.956,23.922,0.238,disabled,16.4,2026-09-23T20:34:30
33,p0_resident,0,16384,0,512,3,0,96,591.5,0,591.5,11.72,11.744,0.282,disabled,2.6,2026-09-23T20:38:07
