order_idx,spill_dev,target,trial,prompt_tokens,rc,measured_steps,transient_ms,n_spill_mean,ms_mean,ms_median,ms_sd,flash_attn,tier_device_visible,duration_s,t_start
1,1,1024,1,2048,0,96,735.9,1103.5,15.353,15.361,0.252,disabled,True,5.1,2026-08-22T20:04:09
2,0,4096,1,5120,0,96,2809.8,4175.5,29.792,27.75,4.095,disabled,False,21.3,2026-08-22T20:07:34
3,0,512,1,1536,0,96,1159.4,591.5,21.435,20.968,1.648,disabled,False,5.7,2026-08-22T20:11:16
4,1,0,1,512,0,96,507.0,0,11.666,11.57,0.243,disabled,True,2.6,2026-08-22T20:14:43
5,1,2048,1,3072,0,96,882.5,2127.5,17.204,16.962,1.627,disabled,True,6.7,2026-08-22T20:18:06
6,0,2048,1,3072,0,96,1823.0,2127.5,23.994,23.47,2.019,disabled,False,10.7,2026-08-22T20:21:33
7,0,1024,1,2048,0,96,1376.1,1103.5,22.466,21.958,1.935,disabled,False,7.2,2026-08-22T20:25:04
8,1,8192,1,9216,0,96,1863.0,8271.5,26.352,26.395,0.261,disabled,True,25.5,2026-08-22T20:28:32
9,1,512,1,1536,0,96,674.8,591.5,14.565,14.479,0.213,disabled,True,4.1,2026-08-22T20:32:18
10,1,4096,1,5120,0,96,1189.1,4175.5,20.093,20.184,0.254,disabled,True,11.8,2026-08-22T20:35:43
11,0,8192,1,9216,0,96,4835.8,8271.5,43.194,39.919,9.491,disabled,False,54.4,2026-08-22T20:39:15
12,0,0,1,512,0,96,512.9,0,11.627,11.498,0.246,disabled,False,2.6,2026-08-22T20:43:30
13,0,1024,2,2048,0,96,1378.3,1103.5,22.143,21.733,1.763,disabled,False,7.2,2026-08-22T20:46:54
14,1,512,2,1536,0,96,674.9,591.5,14.544,14.476,0.238,disabled,True,4.2,2026-08-22T20:50:21
15,1,1024,2,2048,0,96,734.9,1103.5,15.311,15.282,0.228,disabled,True,5.2,2026-08-22T20:53:46
16,1,4096,2,5120,0,96,1192.4,4175.5,20.095,20.162,0.294,disabled,True,11.8,2026-08-22T20:57:12
17,0,4096,2,5120,0,96,2986.4,4175.5,27.748,27.41,1.344,disabled,False,20.9,2026-08-22T21:00:44
18,1,0,2,512,0,96,512.1,0,11.649,11.52,0.28,disabled,True,2.6,2026-08-22T21:04:26
19,0,8192,2,9216,0,96,4825.5,8271.5,36.481,35.811,2.407,disabled,False,53.9,2026-08-22T21:07:49
20,0,2048,2,3072,0,96,1822.2,2127.5,24.117,23.473,2.822,disabled,False,10.7,2026-08-22T21:12:03
21,0,0,2,512,0,96,508.8,0,11.656,11.532,0.29,disabled,False,2.6,2026-08-22T21:15:35
22,1,2048,2,3072,0,96,881.7,2127.5,16.879,16.934,0.265,disabled,True,6.7,2026-08-22T21:18:58
23,1,8192,2,9216,0,96,1865.7,8271.5,26.389,26.419,0.274,disabled,True,25.0,2026-08-22T21:22:25
24,0,512,2,1536,0,96,1166.2,591.5,21.342,21.056,1.13,disabled,False,5.7,2026-08-22T21:26:11
25,0,1024,3,2048,0,96,1364.9,1103.5,22.19,21.861,1.317,disabled,False,7.2,2026-08-22T21:29:37
26,0,4096,3,5120,0,96,2757.5,4175.5,32.884,28.895,7.518,disabled,False,21.3,2026-08-22T21:33:05
27,1,2048,3,3072,0,96,883.2,2127.5,16.894,16.922,0.261,disabled,True,6.6,2026-08-22T21:36:47
28,0,512,3,1536,0,96,1169.9,591.5,21.146,20.876,1.206,disabled,False,5.7,2026-08-22T21:40:14
29,0,8192,3,9216,0,96,4834.6,8271.5,38.061,35.846,4.802,disabled,False,53.9,2026-08-22T21:43:40
30,1,512,3,1536,0,96,672.9,591.5,14.557,14.537,0.217,disabled,True,4.2,2026-08-22T21:47:55
31,0,2048,3,3072,0,96,1815.7,2127.5,26.34,23.657,5.521,disabled,False,10.8,2026-08-22T21:51:20
32,1,4096,3,5120,0,96,1190.4,4175.5,20.083,20.15,0.232,disabled,True,11.8,2026-08-22T21:54:51
33,1,8192,3,9216,0,96,1870.3,8271.5,26.307,26.362,0.276,disabled,True,25.0,2026-08-22T21:58:23
34,1,0,3,512,0,96,512.8,0,11.628,11.515,0.257,disabled,True,2.6,2026-08-22T22:02:09
35,0,0,3,512,0,96,513.0,0,11.61,11.492,0.238,disabled,False,2.6,2026-08-22T22:05:32
36,1,1024,3,2048,0,96,735.4,1103.5,15.305,15.281,0.241,disabled,True,5.2,2026-08-22T22:08:55
