order_idx,round,kind,spill_dev,target,rc,flash_attn,n_steps,ms_mean,ms_median,ms_sd,n_spill_mean,band_start_s,band_end_s,run_total_s,duration_s,t_start
44,2,ctrl,1,0,0,disabled,83,25.86,25.991,1.397,2127.5,2.54,4.7,11.33,12.3,2026-08-20T12:57:39
45,2,iso,0,512,0,disabled,96,34.502,34.111,1.612,591.5,,,,10.4,2026-08-20T13:01:11
46,2,ctrl,1,4096,0,disabled,124,26.49,26.265,0.587,591.5,18.71,22.0,30.29,31.1,2026-08-20T13:04:42
47,2,ctrl,0,512,0,disabled,125,26.279,26.039,0.576,591.5,6.540000000000001,9.8,16.91,17.9,2026-08-20T13:08:33
48,2,ctrl,0,8192,0,disabled,207,26.585,26.496,0.423,591.5,88.78999999999999,94.3,109.93,111.1,2026-08-20T13:12:11
49,3,ctrl,0,8192,0,disabled,204,26.985,26.787,0.602,591.5,88.78999999999999,94.3,110.26,111.1,2026-08-20T13:17:22
50,3,iso,0,1024,0,disabled,96,35.778,35.324,1.564,1103.5,,,,12.9,2026-08-20T13:22:33
51,3,ctrl,1,1024,0,disabled,100,26.271,26.03,0.543,1103.5,6.949999999999999,9.6,16.66,17.4,2026-08-20T13:26:06
52,3,iso,1,1024,0,disabled,96,28.13,28.155,0.24,1103.5,,,,10.3,2026-08-20T13:29:43
53,3,iso,0,8192,0,disabled,96,58.524,58.11,3.258,8271.5,,,,90.5,2026-08-20T13:33:14
54,3,ctrl,0,2048,0,disabled,136,26.38,26.19,0.537,8271.5,15.41,19.0,26.96,27.6,2026-08-20T13:38:04
55,3,iso,0,4096,0,disabled,96,44.521,43.969,1.998,4175.5,,,,37.2,2026-08-20T13:41:52
56,3,ctrl,1,2048,0,disabled,108,26.272,26.092,0.55,4175.5,10.440000000000001,13.3,20.73,21.5,2026-08-20T13:45:49
57,3,iso,1,512,0,disabled,96,27.015,27.002,0.237,591.5,,,,8.8,2026-08-20T13:49:31
58,3,ctrl,0,4096,0,disabled,160,26.41,26.268,0.539,591.5,33.36,37.6,47.35,48.5,2026-08-20T13:52:59
59,3,ctrl,1,512,0,disabled,97,26.276,26.014,0.633,591.5,5.15,7.7,14.59,15.4,2026-08-20T13:57:08
60,3,ctrl,0,1024,0,disabled,127,26.219,26.066,0.491,591.5,8.97,12.3,19.65,20.5,2026-08-20T14:00:43
61,3,iso,1,8192,0,disabled,96,43.84,43.781,0.396,8271.5,,,,46.5,2026-08-20T14:04:24
62,3,iso,0,512,0,disabled,96,34.536,34.102,1.574,591.5,,,,10.3,2026-08-20T14:08:30
63,3,ctrl,1,8192,0,disabled,157,26.305,26.205,0.434,591.5,41.37,45.5,55.96,56.6,2026-08-20T14:12:01
64,3,iso,1,4096,0,disabled,96,34.941,34.82,0.359,4175.5,,,,23.1,2026-08-20T14:16:17
65,3,ctrl,0,0,0,disabled,85,25.623,25.933,1.235,4175.5,2.5300000000000002,4.7,11.29,11.8,2026-08-20T14:20:00
66,3,iso,0,2048,0,disabled,96,38.012,37.604,1.649,2127.5,,,,19.0,2026-08-20T14:23:32
67,3,ctrl,0,512,0,disabled,125,26.258,26.065,0.546,2127.5,6.540000000000001,9.8,16.91,17.9,2026-08-20T14:27:11
68,3,iso,1,0,0,disabled,96,22.981,23.005,0.291,0,,,,5.3,2026-08-20T14:30:49
69,3,ctrl,1,0,0,disabled,84,25.847,25.97,1.62,0,2.54,4.7,11.36,12.3,2026-08-20T14:34:14
70,3,ctrl,1,4096,0,disabled,125,26.425,26.244,0.55,0,18.71,22.0,30.23,31.2,2026-08-20T14:37:47
71,3,iso,1,2048,0,disabled,96,30.237,30.193,0.248,2127.5,,,,13.9,2026-08-20T14:41:38
72,3,iso,0,0,0,disabled,96,22.974,23.019,0.206,0,,,,5.2,2026-08-20T14:45:12
