order_idx,round,n_ubatch,ctx,outcome,rc,prefill_ms,prefill_tok_s,duration_s,kv_mib,scratch_mib,gpu_oom_lines,flash_attn,t_start
1,1,64,81920,COMPLETES,0,62591.42,261.7611167792646,65.7,10240.0,662.5,0,disabled,2026-08-22T22:25:08
2,1,128,81920,COMPLETES,0,108307.26,151.27333107679024,118.6,10240.0,1325.0,0,disabled,2026-08-22T22:29:33
3,1,128,65536,COMPLETES,0,59029.76,277.5549146735477,60.4,8192.0,1061.0,0,disabled,2026-08-22T22:34:52
4,2,64,81920,COMPLETES,0,62582.23,261.79955556073986,64.1,10240.0,662.5,0,disabled,2026-08-22T22:39:12
5,2,128,65536,COMPLETES,0,59190.36,276.8018305683561,60.6,8192.0,1061.0,0,disabled,2026-08-22T22:43:37
6,2,128,81920,COMPLETES,0,73220.96,223.7610651376327,76.6,10240.0,1325.0,0,disabled,2026-08-22T22:47:57
7,3,64,81920,COMPLETES,0,62677.45,261.40182793014077,64.1,10240.0,662.5,0,disabled,2026-08-22T22:52:34
8,3,128,65536,COMPLETES,0,59281.23,276.37753130290986,60.9,8192.0,1061.0,0,disabled,2026-08-22T22:56:58
9,3,128,81920,COMPLETES,0,74419.72,220.15670040145275,77.0,10240.0,1325.0,0,disabled,2026-08-22T23:01:19
