step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
113,624,1024,0.6094,22.791,43.877,0,0.000,0
114,625,1024,0.6104,23.577,42.414,0,0.000,0
115,626,1024,0.6113,22.645,44.160,0,0.000,0
116,627,1024,0.6123,23.363,42.803,0,0.000,0
117,628,1024,0.6133,23.290,42.937,0,0.000,0
118,629,1024,0.6143,22.591,44.265,0,0.000,0
119,630,1024,0.6152,23.846,41.936,0,0.000,0
120,631,1024,0.6162,23.353,42.821,0,0.000,0
121,632,1024,0.6172,22.971,43.533,0,0.000,0
122,633,1024,0.6182,23.429,42.682,0,0.000,0
123,634,1024,0.6191,22.818,43.825,0,0.000,0
124,635,1024,0.6201,23.694,42.205,0,0.000,0
125,636,1024,0.6211,22.641,44.168,0,0.000,0
126,637,1024,0.6221,23.355,42.817,0,0.000,0
127,638,1024,0.6230,23.334,42.856,0,0.000,0
128,639,1024,0.6240,22.573,44.301,0,0.000,0
129,640,1024,0.6250,23.672,42.244,0,0.000,0
130,641,1024,0.6260,22.966,43.543,0,0.000,0
131,642,1024,0.6270,22.955,43.563,0,0.000,0
132,643,1024,0.6279,23.324,42.874,0,0.000,0
133,644,1024,0.6289,22.999,43.480,0,0.000,0
134,645,1024,0.6299,24.413,40.962,0,0.000,0
135,646,1024,0.6309,22.535,44.375,0,0.000,0
136,647,1024,0.6318,23.191,43.120,0,0.000,0
137,648,1024,0.6328,23.297,42.924,0,0.000,0
138,649,1024,0.6338,22.571,44.305,0,0.000,0
139,650,1024,0.6348,23.581,42.407,0,0.000,0
140,651,1024,0.6357,22.986,43.505,0,0.000,0
141,652,1024,0.6367,23.073,43.341,0,0.000,0
142,653,1024,0.6377,23.396,42.742,0,0.000,0
143,654,1024,0.6387,22.883,43.701,0,0.000,0
144,655,1024,0.6396,23.651,42.282,0,0.000,0
145,656,1024,0.6406,22.718,44.018,0,0.000,0
146,657,1024,0.6416,23.475,42.599,0,0.000,0
147,658,1024,0.6426,23.670,42.248,0,0.000,0
148,659,1024,0.6436,22.623,44.203,0,0.000,0
149,660,1024,0.6445,23.570,42.427,0,0.000,0
150,661,1024,0.6455,23.045,43.393,0,0.000,0
151,662,1024,0.6465,22.963,43.548,0,0.000,0
152,663,1024,0.6475,23.323,42.876,0,0.000,0
153,664,1024,0.6484,22.892,43.683,0,0.000,0
154,665,1024,0.6494,23.611,42.353,0,0.000,0
155,666,1024,0.6504,22.702,44.049,0,0.000,0
156,667,1024,0.6514,23.161,43.176,0,0.000,0
157,668,1024,0.6523,23.286,42.944,0,0.000,0
158,669,1024,0.6533,22.562,44.322,0,0.000,0
159,670,1024,0.6543,23.440,42.662,0,0.000,0
160,671,1024,0.6553,23.719,42.160,0,0.000,0
161,672,1024,0.6562,22.919,43.632,0,0.000,0
162,673,1024,0.6572,23.366,42.797,0,0.000,0
163,674,1024,0.6582,22.990,43.497,0,0.000,0
164,675,1024,0.6592,23.488,42.575,0,0.000,0
165,676,1024,0.6602,22.643,44.164,0,0.000,0
166,677,1024,0.6611,23.151,43.195,0,0.000,0
167,678,1024,0.6621,23.439,42.664,0,0.000,0
168,679,1024,0.6631,22.579,44.289,0,0.000,0
169,680,1024,0.6641,23.547,42.468,0,0.000,0
170,681,1024,0.6650,23.056,43.373,0,0.000,0
171,682,1024,0.6660,22.783,43.892,0,0.000,0
172,683,1024,0.6670,23.455,42.635,0,0.000,0
173,684,1024,0.6680,22.943,43.586,0,0.000,0
174,685,1024,0.6689,23.888,41.862,0,0.000,0
175,686,1024,0.6699,23.098,43.294,0,0.000,0
176,687,1024,0.6709,23.294,42.930,0,0.000,0
177,688,1024,0.6719,23.198,43.107,0,0.000,0
178,689,1024,0.6729,23.027,43.427,0,0.000,0
179,690,1024,0.6738,24.232,41.268,0,0.000,0
180,691,1024,0.6748,23.018,43.444,0,0.000,0
181,692,1024,0.6758,23.282,42.952,0,0.000,0
182,693,1024,0.6768,23.265,42.983,0,0.000,0
183,694,1024,0.6777,23.071,43.344,0,0.000,0
184,695,1024,0.6787,23.423,42.693,0,0.000,0
185,696,1024,0.6797,22.661,44.129,0,0.000,0
186,697,1024,0.6807,23.441,42.660,0,0.000,0
187,698,1024,0.6816,23.754,42.098,0,0.000,0
188,699,1024,0.6826,22.641,44.168,0,0.000,0
189,700,1024,0.6836,23.656,42.273,0,0.000,0
190,701,1024,0.6846,23.010,43.459,0,0.000,0
191,702,1024,0.6855,22.801,43.858,0,0.000,0
192,703,1024,0.6865,23.453,42.638,0,0.000,0
193,704,1024,0.6875,22.941,43.590,0,0.000,0
194,705,1024,0.6885,23.061,43.363,0,0.000,0
195,706,1024,0.6895,23.197,43.109,0,0.000,0
196,707,1024,0.6904,22.980,43.516,0,0.000,0
197,708,1024,0.6914,23.554,42.456,0,0.000,0
198,709,1024,0.6924,22.559,44.328,0,0.000,0
199,710,1024,0.6934,23.806,42.006,0,0.000,0
200,711,1024,0.6943,23.312,42.896,0,0.000,0
201,712,1024,0.6953,22.753,43.950,0,0.000,0
202,713,1024,0.6963,23.525,42.508,0,0.000,0
203,714,1024,0.6973,22.989,43.499,0,0.000,0
204,715,1024,0.6982,22.873,43.720,0,0.000,0
205,716,1024,0.6992,23.249,43.013,0,0.000,0
206,717,1024,0.7002,22.720,44.014,0,0.000,0
207,718,1024,0.7012,23.759,42.089,0,0.000,0
208,719,1024,0.7021,22.644,44.162,0,0.000,0
209,720,1024,0.7031,23.233,43.042,0,0.000,0
210,721,1024,0.7041,23.313,42.895,0,0.000,0
211,722,1024,0.7051,22.583,44.281,0,0.000,0
212,723,1024,0.7061,23.631,42.317,0,0.000,0
213,724,1024,0.7070,23.254,43.003,0,0.000,0
214,725,1024,0.7080,23.238,43.033,0,0.000,0
215,726,1024,0.7090,23.526,42.506,0,0.000,0
216,727,1024,0.7100,22.891,43.685,0,0.000,0
217,728,1024,0.7109,23.677,42.235,0,0.000,0
218,729,1024,0.7119,22.703,44.047,0,0.000,0
219,730,1024,0.7129,23.275,42.965,0,0.000,0
220,731,1024,0.7139,23.226,43.055,0,0.000,0
221,732,1024,0.7148,22.623,44.203,0,0.000,0
222,733,1024,0.7158,24.029,41.616,0,0.000,0
223,734,1024,0.7168,22.941,43.590,0,0.000,0
224,735,1024,0.7178,22.883,43.701,0,0.000,0
225,736,1024,0.7188,23.292,42.933,0,0.000,0
226,737,1024,0.7197,22.865,43.735,0,0.000,0
227,738,1024,0.7207,24.118,41.463,0,0.000,0
228,739,1024,0.7217,22.833,43.796,0,0.000,0
229,740,1024,0.7227,23.214,43.077,0,0.000,0
230,741,1024,0.7236,23.359,42.810,0,0.000,0
231,742,1024,0.7246,22.609,44.230,0,0.000,0
232,743,1024,0.7256,23.780,42.052,0,0.000,0
233,744,1024,0.7266,22.991,43.495,0,0.000,0
234,745,1024,0.7275,22.910,43.649,0,0.000,0
235,746,1024,0.7285,23.276,42.963,0,0.000,0
236,747,1024,0.7295,22.851,43.762,0,0.000,0
237,748,1024,0.7305,23.547,42.468,0,0.000,0
238,749,1024,0.7314,22.625,44.199,0,0.000,0
239,750,1024,0.7324,23.510,42.535,0,0.000,0
240,751,1024,0.7334,23.708,42.180,0,0.000,0
241,752,1024,0.7344,22.592,44.263,0,0.000,0
242,753,1024,0.7354,23.579,42.411,0,0.000,0
243,754,1024,0.7363,23.010,43.459,0,0.000,0
244,755,1024,0.7373,22.909,43.651,0,0.000,0
245,756,1024,0.7383,23.317,42.887,0,0.000,0
246,757,1024,0.7393,22.880,43.706,0,0.000,0
247,758,1024,0.7402,23.615,42.346,0,0.000,0
248,759,1024,0.7412,22.675,44.101,0,0.000,0
249,760,1024,0.7422,23.058,43.369,0,0.000,0
250,761,1024,0.7432,23.324,42.874,0,0.000,0
251,762,1024,0.7441,22.580,44.287,0,0.000,0
252,763,1024,0.7451,23.552,42.459,0,0.000,0
253,764,1024,0.7461,23.111,43.269,0,0.000,0
254,765,1024,0.7471,23.309,42.902,0,0.000,0
255,766,1024,0.7480,23.306,42.907,0,0.000,0
256,767,1024,0.7490,23.111,43.269,0,0.000,0
257,768,1024,0.7500,23.610,42.355,0,0.000,0
258,769,1024,0.7510,24.218,41.292,0,0.000,0
259,770,1024,0.7520,23.618,42.341,0,0.000,0
260,771,1024,0.7529,23.750,42.105,0,0.000,0
261,772,1024,0.7539,23.171,43.157,0,0.000,0
262,773,1024,0.7549,23.989,41.686,0,0.000,0
263,774,1024,0.7559,23.133,43.228,0,0.000,0
264,775,1024,0.7568,24.035,41.606,0,0.000,0
265,776,1024,0.7578,23.017,43.446,0,0.000,0
266,777,1024,0.7588,24.452,40.896,0,0.000,0
267,778,1024,0.7598,24.931,40.111,0,0.000,0
268,779,1024,0.7607,23.410,42.717,0,0.000,0
269,780,1024,0.7617,23.885,41.867,0,0.000,0
270,781,1024,0.7627,23.301,42.917,0,0.000,0
271,782,1024,0.7637,23.755,42.096,0,0.000,0
272,783,1024,0.7646,23.352,42.823,0,0.000,0
