step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
105,616,1024,0.6016,23.546,42.470,0,0.000,0,768
106,617,1024,0.6025,23.655,42.274,0,0.000,0,768
107,618,1024,0.6035,23.653,42.278,0,0.000,0,768
108,619,1024,0.6045,23.670,42.248,0,0.000,0,768
109,620,1024,0.6055,24.322,41.115,0,0.000,0,768
110,621,1024,0.6064,23.989,41.686,0,0.000,0,768
111,622,1024,0.6074,23.809,42.001,0,0.000,0,768
112,623,1024,0.6084,23.117,43.258,0,0.000,0,768
113,624,1024,0.6094,23.479,42.591,0,0.000,0,768
114,625,1024,0.6104,23.480,42.589,0,0.000,0,768
115,626,1024,0.6113,23.278,42.959,0,0.000,0,768
116,627,1024,0.6123,23.593,42.385,0,0.000,0,768
117,628,1024,0.6133,23.897,41.846,0,0.000,0,768
118,629,1024,0.6143,23.545,42.472,0,0.000,0,768
119,630,1024,0.6152,23.327,42.869,0,0.000,0,768
120,631,1024,0.6162,23.850,41.929,0,0.000,0,768
121,632,1024,0.6172,24.234,41.264,0,0.000,0,768
122,633,1024,0.6182,23.969,41.721,0,0.000,0,768
123,634,1024,0.6191,23.840,41.946,0,0.000,0,768
124,635,1024,0.6201,23.617,42.342,0,0.000,0,768
125,636,1024,0.6211,23.550,42.463,0,0.000,0,768
126,637,1024,0.6221,23.298,42.922,0,0.000,0,768
127,638,1024,0.6230,23.575,42.418,0,0.000,0,768
128,639,1024,0.6240,23.638,42.305,0,0.000,0,768
129,640,1024,0.6250,23.366,42.797,0,0.000,0,768
130,641,1024,0.6260,23.733,42.135,0,0.000,0,768
131,642,1024,0.6270,23.759,42.089,0,0.000,0,768
132,643,1024,0.6279,23.577,42.414,0,0.000,0,768
133,644,1024,0.6289,23.212,43.081,0,0.000,0,768
134,645,1024,0.6299,23.538,42.484,0,0.000,0,768
135,646,1024,0.6309,23.889,41.860,0,0.000,0,768
136,647,1024,0.6318,23.877,41.881,0,0.000,0,768
137,648,1024,0.6328,23.678,42.233,0,0.000,0,768
138,649,1024,0.6338,23.494,42.564,0,0.000,0,768
139,650,1024,0.6348,23.863,41.906,0,0.000,0,768
140,651,1024,0.6357,23.352,42.823,0,0.000,0,768
141,652,1024,0.6367,23.620,42.337,0,0.000,0,768
142,653,1024,0.6377,23.677,42.235,0,0.000,0,768
143,654,1024,0.6387,23.488,42.575,0,0.000,0,768
144,655,1024,0.6396,23.675,42.239,0,0.000,0,768
145,656,1024,0.6406,23.598,42.376,0,0.000,0,768
146,657,1024,0.6416,23.396,42.742,0,0.000,0,768
147,658,1024,0.6426,23.614,42.348,0,0.000,0,768
148,659,1024,0.6436,23.783,42.047,0,0.000,0,768
149,660,1024,0.6445,24.034,41.608,0,0.000,0,768
150,661,1024,0.6455,23.309,42.902,0,0.000,0,768
151,662,1024,0.6465,23.890,41.859,0,0.000,0,768
152,663,1024,0.6475,23.798,42.020,0,0.000,0,768
153,664,1024,0.6484,23.451,42.642,0,0.000,0,768
154,665,1024,0.6494,23.380,42.772,0,0.000,0,768
155,666,1024,0.6504,23.679,42.232,0,0.000,0,768
156,667,1024,0.6514,23.946,41.761,0,0.000,0,768
157,668,1024,0.6523,23.367,42.795,0,0.000,0,768
158,669,1024,0.6533,23.787,42.040,0,0.000,0,768
159,670,1024,0.6543,23.633,42.314,0,0.000,0,768
160,671,1024,0.6553,23.810,41.999,0,0.000,0,768
161,672,1024,0.6562,24.229,41.273,0,0.000,0,768
162,673,1024,0.6572,23.708,42.180,0,0.000,0,768
163,674,1024,0.6582,24.028,41.618,0,0.000,0,768
164,675,1024,0.6592,23.722,42.155,0,0.000,0,768
165,676,1024,0.6602,23.808,42.003,0,0.000,0,768
166,677,1024,0.6611,23.777,42.057,0,0.000,0,768
167,678,1024,0.6621,23.860,41.911,0,0.000,0,768
168,679,1024,0.6631,23.654,42.276,0,0.000,0,768
169,680,1024,0.6641,23.732,42.137,0,0.000,0,768
170,681,1024,0.6650,23.740,42.123,0,0.000,0,768
171,682,1024,0.6660,23.488,42.575,0,0.000,0,768
172,683,1024,0.6670,24.234,41.264,0,0.000,0,768
173,684,1024,0.6680,23.874,41.887,0,0.000,0,768
174,685,1024,0.6689,23.809,42.001,0,0.000,0,768
175,686,1024,0.6699,24.098,41.497,0,0.000,0,768
176,687,1024,0.6709,24.149,41.410,0,0.000,0,768
177,688,1024,0.6719,24.295,41.161,0,0.000,0,768
178,689,1024,0.6729,27.048,36.971,0,0.000,0,768
179,690,1024,0.6738,23.624,42.330,0,0.000,0,768
180,691,1024,0.6748,23.859,41.913,0,0.000,0,768
181,692,1024,0.6758,23.922,41.803,0,0.000,0,768
182,693,1024,0.6768,23.544,42.474,0,0.000,0,768
183,694,1024,0.6777,23.880,41.876,0,0.000,0,768
184,695,1024,0.6787,24.004,41.660,0,0.000,0,768
185,696,1024,0.6797,24.183,41.351,0,0.000,0,768
186,697,1024,0.6807,23.693,42.207,0,0.000,0,768
187,698,1024,0.6816,24.446,40.906,0,0.000,0,768
188,699,1024,0.6826,23.988,41.688,0,0.000,0,768
189,700,1024,0.6836,23.823,41.976,0,0.000,0,768
190,701,1024,0.6846,23.940,41.771,0,0.000,0,768
191,702,1024,0.6855,24.649,40.570,0,0.000,0,768
192,703,1024,0.6865,24.598,40.654,0,0.000,0,768
193,704,1024,0.6875,24.023,41.627,0,0.000,0,768
194,705,1024,0.6885,24.044,41.590,0,0.000,0,768
195,706,1024,0.6895,23.852,41.925,0,0.000,0,768
196,707,1024,0.6904,23.914,41.817,0,0.000,0,768
197,708,1024,0.6914,23.768,42.073,0,0.000,0,768
198,709,1024,0.6924,24.098,41.497,0,0.000,0,768
199,710,1024,0.6934,24.050,41.580,0,0.000,0,768
200,711,1024,0.6943,24.042,41.594,0,0.000,0,768
201,712,1024,0.6953,23.942,41.768,0,0.000,0,768
202,713,1024,0.6963,24.020,41.632,0,0.000,0,768
203,714,1024,0.6973,24.632,40.598,0,0.000,0,768
204,715,1024,0.6982,28.597,34.969,0,0.000,0,768
205,716,1024,0.6992,30.045,33.283,0,0.000,0,768
206,717,1024,0.7002,29.119,34.342,0,0.000,0,768
207,718,1024,0.7012,26.951,37.104,0,0.000,0,768
208,719,1024,0.7021,37.781,26.468,0,0.000,0,768
209,720,1024,0.7031,28.120,35.562,0,0.000,0,768
210,721,1024,0.7041,24.101,41.492,0,0.000,0,768
211,722,1024,0.7051,24.114,41.470,0,0.000,0,768
212,723,1024,0.7061,24.322,41.115,0,0.000,0,768
213,724,1024,0.7070,24.205,41.314,0,0.000,0,768
214,725,1024,0.7080,24.077,41.533,0,0.000,0,768
215,726,1024,0.7090,23.820,41.982,0,0.000,0,768
216,727,1024,0.7100,24.150,41.408,0,0.000,0,768
217,728,1024,0.7109,24.136,41.432,0,0.000,0,768
218,729,1024,0.7119,24.212,41.302,0,0.000,0,768
219,730,1024,0.7129,23.875,41.885,0,0.000,0,768
220,731,1024,0.7139,24.185,41.348,0,0.000,0,768
221,732,1024,0.7148,24.072,41.542,0,0.000,0,768
222,733,1024,0.7158,24.157,41.396,0,0.000,0,768
223,734,1024,0.7168,23.886,41.866,0,0.000,0,768
224,735,1024,0.7178,24.510,40.800,0,0.000,0,768
225,736,1024,0.7188,24.353,41.063,0,0.000,0,768
226,737,1024,0.7197,23.885,41.867,0,0.000,0,768
227,738,1024,0.7207,24.080,41.528,0,0.000,0,768
228,739,1024,0.7217,24.203,41.317,0,0.000,0,768
229,740,1024,0.7227,24.231,41.269,0,0.000,0,768
230,741,1024,0.7236,23.872,41.890,0,0.000,0,768
231,742,1024,0.7246,24.232,41.268,0,0.000,0,768
232,743,1024,0.7256,24.277,41.191,0,0.000,0,768
233,744,1024,0.7266,24.280,41.186,0,0.000,0,768
234,745,1024,0.7275,24.020,41.632,0,0.000,0,768
235,746,1024,0.7285,24.150,41.408,0,0.000,0,768
236,747,1024,0.7295,24.412,40.963,0,0.000,0,768
237,748,1024,0.7305,24.256,41.227,0,0.000,0,768
