step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled,n_kv
105,616,1024,0.6016,28.608,34.955,0,0.000,0,768
106,617,1024,0.6025,29.628,33.752,0,0.000,0,768
107,618,1024,0.6035,29.137,34.321,0,0.000,0,768
108,619,1024,0.6045,29.599,33.785,0,0.000,0,768
109,620,1024,0.6055,28.672,34.877,0,0.000,0,768
110,621,1024,0.6064,30.371,32.926,0,0.000,0,768
111,622,1024,0.6074,30.121,33.199,0,0.000,0,768
112,623,1024,0.6084,29.522,33.873,0,0.000,0,768
113,624,1024,0.6094,30.099,33.224,0,0.000,0,768
114,625,1024,0.6104,30.952,32.308,0,0.000,0,768
115,626,1024,0.6113,30.947,32.313,0,0.000,0,768
116,627,1024,0.6123,30.856,32.409,0,0.000,0,768
117,628,1024,0.6133,31.075,32.180,0,0.000,0,768
118,629,1024,0.6143,30.652,32.624,0,0.000,0,768
119,630,1024,0.6152,31.410,31.837,0,0.000,0,768
120,631,1024,0.6162,31.793,31.453,0,0.000,0,768
121,632,1024,0.6172,31.746,31.500,0,0.000,0,768
122,633,1024,0.6182,31.450,31.797,0,0.000,0,768
123,634,1024,0.6191,32.010,31.240,0,0.000,0,768
124,635,1024,0.6201,32.355,30.907,0,0.000,0,768
125,636,1024,0.6211,32.343,30.919,0,0.000,0,768
126,637,1024,0.6221,32.261,30.997,0,0.000,0,768
127,638,1024,0.6230,32.178,31.077,0,0.000,0,768
128,639,1024,0.6240,32.691,30.589,0,0.000,0,768
129,640,1024,0.6250,32.610,30.665,0,0.000,0,768
130,641,1024,0.6260,33.005,30.298,0,0.000,0,768
131,642,1024,0.6270,33.052,30.255,0,0.000,0,768
132,643,1024,0.6279,32.538,30.733,0,0.000,0,768
133,644,1024,0.6289,33.379,29.959,0,0.000,0,768
134,645,1024,0.6299,33.169,30.149,0,0.000,0,768
135,646,1024,0.6309,32.909,30.387,0,0.000,0,768
136,647,1024,0.6318,33.085,30.225,0,0.000,0,768
137,648,1024,0.6328,32.995,30.308,0,0.000,0,768
138,649,1024,0.6338,32.377,30.886,0,0.000,0,768
139,650,1024,0.6348,32.344,30.918,0,0.000,0,768
140,651,1024,0.6357,32.148,31.106,0,0.000,0,768
141,652,1024,0.6367,31.844,31.403,0,0.000,0,768
142,653,1024,0.6377,32.276,30.983,0,0.000,0,768
143,654,1024,0.6387,32.363,30.899,0,0.000,0,768
144,655,1024,0.6396,32.317,30.943,0,0.000,0,768
145,656,1024,0.6406,32.471,30.797,0,0.000,0,768
146,657,1024,0.6416,31.646,31.600,0,0.000,0,768
147,658,1024,0.6426,32.193,31.063,0,0.000,0,768
148,659,1024,0.6436,32.032,31.219,0,0.000,0,768
149,660,1024,0.6445,32.006,31.244,0,0.000,0,768
150,661,1024,0.6455,31.704,31.542,0,0.000,0,768
151,662,1024,0.6465,31.684,31.562,0,0.000,0,768
152,663,1024,0.6475,31.722,31.524,0,0.000,0,768
153,664,1024,0.6484,31.611,31.635,0,0.000,0,768
154,665,1024,0.6494,31.689,31.557,0,0.000,0,768
155,666,1024,0.6504,31.534,31.712,0,0.000,0,768
156,667,1024,0.6514,31.412,31.835,0,0.000,0,768
157,668,1024,0.6523,30.932,32.329,0,0.000,0,768
158,669,1024,0.6533,31.482,31.764,0,0.000,0,768
159,670,1024,0.6543,40.665,24.591,0,0.000,0,768
160,671,1024,0.6553,39.115,25.566,0,0.000,0,768
161,672,1024,0.6562,37.410,26.731,0,0.000,0,768
162,673,1024,0.6572,50.353,19.860,0,0.000,0,768
163,674,1024,0.6582,36.813,27.164,0,0.000,0,768
164,675,1024,0.6592,30.018,33.313,0,0.000,0,768
165,676,1024,0.6602,30.511,32.775,0,0.000,0,768
166,677,1024,0.6611,30.725,32.547,0,0.000,0,768
167,678,1024,0.6621,30.641,32.636,0,0.000,0,768
168,679,1024,0.6631,29.811,33.545,0,0.000,0,768
169,680,1024,0.6641,30.227,33.083,0,0.000,0,768
170,681,1024,0.6650,29.897,33.448,0,0.000,0,768
171,682,1024,0.6660,29.548,33.843,0,0.000,0,768
172,683,1024,0.6670,29.898,33.447,0,0.000,0,768
173,684,1024,0.6680,29.544,33.848,0,0.000,0,768
174,685,1024,0.6689,29.785,33.574,0,0.000,0,768
175,686,1024,0.6699,28.902,34.600,0,0.000,0,768
176,687,1024,0.6709,29.364,34.055,0,0.000,0,768
177,688,1024,0.6719,29.178,34.272,0,0.000,0,768
178,689,1024,0.6729,29.399,34.015,0,0.000,0,768
179,690,1024,0.6738,28.841,34.673,0,0.000,0,768
180,691,1024,0.6748,29.026,34.452,0,0.000,0,768
181,692,1024,0.6758,28.792,34.732,0,0.000,0,768
182,693,1024,0.6768,28.781,34.745,0,0.000,0,768
183,694,1024,0.6777,28.202,35.458,0,0.000,0,768
184,695,1024,0.6787,29.450,33.956,0,0.000,0,768
185,696,1024,0.6797,28.600,34.965,0,0.000,0,768
186,697,1024,0.6807,28.467,35.128,0,0.000,0,768
187,698,1024,0.6816,28.400,35.211,0,0.000,0,768
188,699,1024,0.6826,28.490,35.100,0,0.000,0,768
189,700,1024,0.6836,28.360,35.261,0,0.000,0,768
190,701,1024,0.6846,27.968,35.755,0,0.000,0,768
191,702,1024,0.6855,28.498,35.090,0,0.000,0,768
192,703,1024,0.6865,28.223,35.432,0,0.000,0,768
193,704,1024,0.6875,28.059,35.639,0,0.000,0,768
194,705,1024,0.6885,28.173,35.495,0,0.000,0,768
195,706,1024,0.6895,28.112,35.572,0,0.000,0,768
196,707,1024,0.6904,27.303,36.626,0,0.000,0,768
197,708,1024,0.6914,28.627,34.932,0,0.000,0,768
198,709,1024,0.6924,28.130,35.549,0,0.000,0,768
199,710,1024,0.6934,28.004,35.709,0,0.000,0,768
200,711,1024,0.6943,28.171,35.497,0,0.000,0,768
201,712,1024,0.6953,28.053,35.647,0,0.000,0,768
202,713,1024,0.6963,27.788,35.987,0,0.000,0,768
203,714,1024,0.6973,27.432,36.454,0,0.000,0,768
204,715,1024,0.6982,28.067,35.629,0,0.000,0,768
205,716,1024,0.6992,27.853,35.903,0,0.000,0,768
206,717,1024,0.7002,27.504,36.358,0,0.000,0,768
207,718,1024,0.7012,27.958,35.768,0,0.000,0,768
208,719,1024,0.7021,27.854,35.901,0,0.000,0,768
209,720,1024,0.7031,27.389,36.511,0,0.000,0,768
210,721,1024,0.7041,27.814,35.953,0,0.000,0,768
211,722,1024,0.7051,27.868,35.883,0,0.000,0,768
212,723,1024,0.7061,27.664,36.148,0,0.000,0,768
213,724,1024,0.7070,27.573,36.267,0,0.000,0,768
214,725,1024,0.7080,27.329,36.591,0,0.000,0,768
215,726,1024,0.7090,27.383,36.519,0,0.000,0,768
216,727,1024,0.7100,27.965,35.759,0,0.000,0,768
217,728,1024,0.7109,27.876,35.873,0,0.000,0,768
218,729,1024,0.7119,27.673,36.136,0,0.000,0,768
219,730,1024,0.7129,27.857,35.898,0,0.000,0,768
220,731,1024,0.7139,27.890,35.855,0,0.000,0,768
221,732,1024,0.7148,27.495,36.370,0,0.000,0,768
222,733,1024,0.7158,28.014,35.696,0,0.000,0,768
223,734,1024,0.7168,27.929,35.805,0,0.000,0,768
224,735,1024,0.7178,27.721,36.074,0,0.000,0,768
225,736,1024,0.7188,28.519,35.064,0,0.000,0,768
226,737,1024,0.7197,28.067,35.629,0,0.000,0,768
227,738,1024,0.7207,27.749,36.037,0,0.000,0,768
228,739,1024,0.7217,27.855,35.900,0,0.000,0,768
229,740,1024,0.7227,28.067,35.629,0,0.000,0,768
230,741,1024,0.7236,28.064,35.633,0,0.000,0,768
231,742,1024,0.7246,28.436,35.167,0,0.000,0,768
232,743,1024,0.7256,28.123,35.558,0,0.000,0,768
233,744,1024,0.7266,28.086,35.605,0,0.000,0,768
234,745,1024,0.7275,27.521,36.336,0,0.000,0,768
235,746,1024,0.7285,28.309,35.324,0,0.000,0,768
236,747,1024,0.7295,28.213,35.445,0,0.000,0,768
237,748,1024,0.7305,28.154,35.519,0,0.000,0,768
238,749,1024,0.7314,27.894,35.850,0,0.000,0,768
239,750,1024,0.7324,27.985,35.733,0,0.000,0,768
240,751,1024,0.7334,27.634,36.187,0,0.000,0,768
241,752,1024,0.7344,28.064,35.633,0,0.000,0,768
242,753,1024,0.7354,27.592,36.242,0,0.000,0,768
243,754,1024,0.7363,28.107,35.578,0,0.000,0,768
244,755,1024,0.7373,28.227,35.427,0,0.000,0,768
245,756,1024,0.7383,28.120,35.562,0,0.000,0,768
246,757,1024,0.7393,27.980,35.740,0,0.000,0,768
247,758,1024,0.7402,27.763,36.019,0,0.000,0,768
248,759,1024,0.7412,28.203,35.457,0,0.000,0,768
249,760,1024,0.7422,28.245,35.404,0,0.000,0,768
250,761,1024,0.7432,28.201,35.460,0,0.000,0,768
251,762,1024,0.7441,28.752,34.780,0,0.000,0,768
252,763,1024,0.7451,28.427,35.178,0,0.000,0,768
253,764,1024,0.7461,28.405,35.205,0,0.000,0,768
254,765,1024,0.7471,27.871,35.880,0,0.000,0,768
255,766,1024,0.7480,28.816,34.703,0,0.000,0,768
256,767,1024,0.7490,28.433,35.170,0,0.000,0,768
257,768,1024,0.7500,28.218,35.438,0,0.000,0,768
