step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1225.078,417.933,0,1.000
2,513,1024,0.5010,26.364,37.931,0,1.000
3,514,1024,0.5020,21.609,46.277,0,1.000
4,515,1024,0.5029,21.749,45.979,0,1.000
5,516,1024,0.5039,21.829,45.811,0,1.000
6,517,1024,0.5049,21.619,46.256,0,1.000
7,518,1024,0.5059,21.871,45.723,0,1.000
8,519,1024,0.5068,21.816,45.838,0,1.000
9,520,1024,0.5078,21.360,46.816,0,1.000
10,521,1024,0.5088,21.345,46.849,0,1.000
11,522,1024,0.5098,21.193,47.185,0,1.000
12,523,1024,0.5107,21.301,46.946,0,1.000
13,524,1024,0.5117,21.271,47.012,0,1.000
14,525,1024,0.5127,21.646,46.198,0,1.000
15,526,1024,0.5137,21.285,46.981,0,1.000
16,527,1024,0.5146,21.249,47.061,0,1.000
17,528,1024,0.5156,20.911,47.822,0,1.000
18,529,1024,0.5166,21.187,47.199,0,1.000
19,530,1024,0.5176,21.217,47.132,0,1.000
20,531,1024,0.5186,20.963,47.703,0,1.000
21,532,1024,0.5195,21.197,47.176,0,1.000
22,533,1024,0.5205,21.267,47.021,0,1.000
23,534,1024,0.5215,20.868,47.920,0,1.000
24,535,1024,0.5225,21.236,47.090,0,1.000
25,536,1024,0.5234,21.028,47.556,0,1.000
26,537,1024,0.5244,21.126,47.335,0,1.000
27,538,1024,0.5254,21.066,47.470,0,1.000
28,539,1024,0.5264,21.585,46.328,0,1.000
29,540,1024,0.5273,21.263,47.030,0,1.000
30,541,1024,0.5283,21.207,47.154,0,1.000
31,542,1024,0.5293,20.960,47.710,0,1.000
32,543,1024,0.5303,21.180,47.214,0,1.000
33,544,1024,0.5312,21.081,47.436,0,1.000
34,545,1024,0.5322,20.848,47.966,0,1.000
35,546,1024,0.5332,21.009,47.599,0,1.000
36,547,1024,0.5342,20.870,47.916,0,1.000
37,548,1024,0.5352,21.090,47.416,0,1.000
38,549,1024,0.5361,21.040,47.529,0,1.000
39,550,1024,0.5371,20.845,47.973,0,1.000
40,551,1024,0.5381,21.092,47.411,0,1.000
41,552,1024,0.5391,21.060,47.483,0,1.000
42,553,1024,0.5400,20.837,47.992,0,1.000
43,554,1024,0.5410,21.348,46.843,0,1.000
44,555,1024,0.5420,21.541,46.423,0,1.000
45,556,1024,0.5430,21.017,47.581,0,1.000
46,557,1024,0.5439,21.174,47.228,0,1.000
47,558,1024,0.5449,20.915,47.813,0,1.000
48,559,1024,0.5459,21.270,47.015,0,1.000
49,560,1024,0.5469,21.240,47.081,0,1.000
50,561,1024,0.5479,20.999,47.621,0,1.000
51,562,1024,0.5488,21.188,47.197,0,1.000
52,563,1024,0.5498,21.119,47.351,0,1.000
53,564,1024,0.5508,20.883,47.886,0,1.000
54,565,1024,0.5518,21.183,47.208,0,1.000
55,566,1024,0.5527,21.226,47.112,0,1.000
56,567,1024,0.5537,20.987,47.649,0,1.000
57,568,1024,0.5547,21.169,47.239,0,1.000
58,569,1024,0.5557,21.547,46.410,0,1.000
59,570,1024,0.5566,21.402,46.725,0,1.000
60,571,1024,0.5576,21.226,47.112,0,1.000
61,572,1024,0.5586,20.995,47.630,0,1.000
62,573,1024,0.5596,21.302,46.944,0,1.000
63,574,1024,0.5605,21.273,47.008,0,1.000
64,575,1024,0.5615,20.908,47.829,0,1.000
65,576,1024,0.5625,21.282,46.988,0,1.000
66,577,1024,0.5635,21.182,47.210,0,1.000
67,578,1024,0.5645,21.018,47.578,0,1.000
68,579,1024,0.5654,21.325,46.893,0,1.000
69,580,1024,0.5664,21.043,47.522,0,1.000
70,581,1024,0.5674,21.259,47.039,0,1.000
71,582,1024,0.5684,21.610,46.275,0,1.000
72,583,1024,0.5693,21.740,45.998,0,1.000
73,584,1024,0.5703,21.822,45.825,0,1.000
74,585,1024,0.5713,21.873,45.718,0,1.000
75,586,1024,0.5723,21.011,47.594,0,1.000
76,587,1024,0.5732,21.331,46.880,0,1.000
77,588,1024,0.5742,21.304,46.940,0,1.000
78,589,1024,0.5752,21.172,47.232,0,1.000
79,590,1024,0.5762,21.359,46.819,0,1.000
80,591,1024,0.5771,21.361,46.814,0,1.000
81,592,1024,0.5781,21.127,47.333,0,1.000
82,593,1024,0.5791,21.408,46.712,0,1.000
83,594,1024,0.5801,21.481,46.553,0,1.000
84,595,1024,0.5811,21.237,47.088,0,1.000
85,596,1024,0.5820,21.425,46.674,0,1.000
86,597,1024,0.5830,21.234,47.094,0,1.000
87,598,1024,0.5840,21.996,45.463,0,1.000
88,599,1024,0.5850,21.525,46.458,0,1.000
89,600,1024,0.5859,21.255,47.048,0,1.000
90,601,1024,0.5869,21.479,46.557,0,1.000
91,602,1024,0.5879,21.504,46.503,0,1.000
92,603,1024,0.5889,21.298,46.953,0,1.000
93,604,1024,0.5898,21.543,46.419,0,1.000
94,605,1024,0.5908,21.507,46.496,0,1.000
95,606,1024,0.5918,21.361,46.814,0,1.000
