step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1147.168,446.316,0,0.750
2,513,1024,0.5010,21.451,46.618,0,0.750
3,514,1024,0.5020,20.925,47.790,0,0.750
4,515,1024,0.5029,20.836,47.994,0,0.750
5,516,1024,0.5039,20.783,48.116,0,0.750
6,517,1024,0.5049,20.829,48.010,0,0.750
7,518,1024,0.5059,20.832,48.003,0,0.750
8,519,1024,0.5068,20.685,48.344,0,0.750
9,520,1024,0.5078,21.752,45.973,0,0.750
10,521,1024,0.5088,20.830,48.008,0,0.750
11,522,1024,0.5098,20.645,48.438,0,0.750
12,523,1024,0.5107,20.709,48.288,0,0.750
13,524,1024,0.5117,20.929,47.781,0,0.750
14,525,1024,0.5127,20.952,47.728,0,0.750
15,526,1024,0.5137,20.840,47.985,0,0.750
16,527,1024,0.5146,20.537,48.693,0,0.750
17,528,1024,0.5156,20.845,47.973,0,0.750
18,529,1024,0.5166,20.807,48.061,0,0.750
19,530,1024,0.5176,20.765,48.158,0,0.750
20,531,1024,0.5186,20.797,48.084,0,0.750
21,532,1024,0.5195,20.775,48.135,0,0.750
22,533,1024,0.5205,20.807,48.061,0,0.750
23,534,1024,0.5215,20.765,48.158,0,0.750
24,535,1024,0.5225,20.789,48.102,0,0.750
25,536,1024,0.5234,20.760,48.170,0,0.750
26,537,1024,0.5244,20.749,48.195,0,0.750
27,538,1024,0.5254,20.652,48.421,0,0.750
28,539,1024,0.5264,20.803,48.070,0,0.750
29,540,1024,0.5273,20.814,48.045,0,0.750
30,541,1024,0.5283,20.793,48.093,0,0.750
31,542,1024,0.5293,20.822,48.026,0,0.750
32,543,1024,0.5303,20.785,48.112,0,0.750
33,544,1024,0.5312,20.745,48.204,0,0.750
34,545,1024,0.5322,20.780,48.123,0,0.750
35,546,1024,0.5332,20.793,48.093,0,0.750
36,547,1024,0.5342,20.780,48.123,0,0.750
