step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1303.216,392.874,0,1.500
2,513,1024,0.5010,26.973,37.074,0,1.500
3,514,1024,0.5020,22.843,43.777,0,1.500
4,515,1024,0.5029,22.791,43.877,0,1.500
5,516,1024,0.5039,22.404,44.635,0,1.500
6,517,1024,0.5049,22.727,44.001,0,1.500
7,518,1024,0.5059,22.863,43.739,0,1.500
8,519,1024,0.5068,22.801,43.858,0,1.500
9,520,1024,0.5078,22.448,44.547,0,1.500
10,521,1024,0.5088,21.956,45.546,0,1.500
11,522,1024,0.5098,21.552,46.399,0,1.500
12,523,1024,0.5107,21.281,46.990,0,1.500
13,524,1024,0.5117,21.482,46.551,0,1.500
14,525,1024,0.5127,21.615,46.264,0,1.500
15,526,1024,0.5137,21.347,46.845,0,1.500
16,527,1024,0.5146,21.300,46.948,0,1.500
17,528,1024,0.5156,21.153,47.275,0,1.500
18,529,1024,0.5166,21.419,46.688,0,1.500
19,530,1024,0.5176,21.366,46.803,0,1.500
20,531,1024,0.5186,21.116,47.357,0,1.500
21,532,1024,0.5195,21.346,46.847,0,1.500
22,533,1024,0.5205,21.391,46.749,0,1.500
23,534,1024,0.5215,21.104,47.384,0,1.500
24,535,1024,0.5225,21.318,46.909,0,1.500
25,536,1024,0.5234,21.306,46.935,0,1.500
26,537,1024,0.5244,21.121,47.346,0,1.500
27,538,1024,0.5254,21.485,46.544,0,1.500
28,539,1024,0.5264,21.605,46.286,0,1.500
29,540,1024,0.5273,21.381,46.770,0,1.500
30,541,1024,0.5283,21.321,46.902,0,1.500
31,542,1024,0.5293,21.084,47.429,0,1.500
32,543,1024,0.5303,21.338,46.865,0,1.500
33,544,1024,0.5312,21.315,46.915,0,1.500
34,545,1024,0.5322,21.053,47.499,0,1.500
35,546,1024,0.5332,21.415,46.696,0,1.500
36,547,1024,0.5342,21.297,46.955,0,1.500
37,548,1024,0.5352,20.862,47.934,0,1.500
38,549,1024,0.5361,21.278,46.997,0,1.500
39,550,1024,0.5371,21.075,47.450,0,1.500
40,551,1024,0.5381,21.181,47.212,0,1.500
41,552,1024,0.5391,21.516,46.477,0,1.500
42,553,1024,0.5400,21.655,46.179,0,1.500
43,554,1024,0.5410,21.410,46.707,0,1.500
44,555,1024,0.5420,21.315,46.915,0,1.500
45,556,1024,0.5430,21.104,47.384,0,1.500
46,557,1024,0.5439,21.368,46.799,0,1.500
47,558,1024,0.5449,21.451,46.618,0,1.500
48,559,1024,0.5459,21.116,47.357,0,1.500
49,560,1024,0.5469,21.355,46.827,0,1.500
50,561,1024,0.5479,21.343,46.854,0,1.500
51,562,1024,0.5488,21.142,47.299,0,1.500
52,563,1024,0.5498,21.371,46.792,0,1.500
53,564,1024,0.5508,21.135,47.315,0,1.500
54,565,1024,0.5518,21.326,46.891,0,1.500
55,566,1024,0.5527,21.288,46.975,0,1.500
56,567,1024,0.5537,20.894,47.861,0,1.500
57,568,1024,0.5547,21.621,46.251,0,1.500
58,569,1024,0.5557,21.665,46.157,0,1.500
59,570,1024,0.5566,20.963,47.703,0,1.500
60,571,1024,0.5576,21.163,47.252,0,1.500
61,572,1024,0.5586,21.379,46.775,0,1.500
62,573,1024,0.5596,21.055,47.495,0,1.500
63,574,1024,0.5605,21.305,46.937,0,1.500
64,575,1024,0.5615,21.263,47.030,0,1.500
65,576,1024,0.5625,21.038,47.533,0,1.500
66,577,1024,0.5635,21.434,46.655,0,1.500
67,578,1024,0.5645,21.299,46.951,0,1.500
68,579,1024,0.5654,21.533,46.440,0,1.500
69,580,1024,0.5664,21.488,46.538,0,1.500
70,581,1024,0.5674,21.216,47.134,0,1.500
71,582,1024,0.5684,21.922,45.616,0,1.500
72,583,1024,0.5693,21.636,46.219,0,1.500
73,584,1024,0.5703,21.359,46.819,0,1.500
74,585,1024,0.5713,21.596,46.305,0,1.500
75,586,1024,0.5723,21.577,46.346,0,1.500
76,587,1024,0.5732,21.273,47.008,0,1.500
77,588,1024,0.5742,21.611,46.273,0,1.500
78,589,1024,0.5752,21.604,46.288,0,1.500
79,590,1024,0.5762,21.428,46.668,0,1.500
80,591,1024,0.5771,21.635,46.221,0,1.500
81,592,1024,0.5781,21.738,46.002,0,1.500
82,593,1024,0.5791,21.472,46.572,0,1.500
83,594,1024,0.5801,21.696,46.091,0,1.500
84,595,1024,0.5811,21.719,46.043,0,1.500
85,596,1024,0.5820,21.999,45.457,0,1.500
86,597,1024,0.5830,21.970,45.517,0,1.500
87,598,1024,0.5840,21.877,45.710,0,1.500
88,599,1024,0.5850,21.694,46.096,0,1.500
89,600,1024,0.5859,21.925,45.610,0,1.500
90,601,1024,0.5869,21.694,46.096,0,1.500
