step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,1024,0.5000,1278.355,400.515,0,0.250
2,513,1024,0.5010,27.450,36.430,0,0.250
3,514,1024,0.5020,22.654,44.142,0,0.250
4,515,1024,0.5029,22.514,44.417,0,0.250
5,516,1024,0.5039,22.313,44.817,0,0.250
6,517,1024,0.5049,22.552,44.342,0,0.250
7,518,1024,0.5059,22.454,44.535,0,0.250
8,519,1024,0.5068,22.553,44.340,0,0.250
9,520,1024,0.5078,22.172,45.102,0,0.250
10,521,1024,0.5088,21.542,46.421,0,0.250
11,522,1024,0.5098,21.258,47.041,0,0.250
12,523,1024,0.5107,21.434,46.655,0,0.250
13,524,1024,0.5117,21.434,46.655,0,0.250
14,525,1024,0.5127,21.182,47.210,0,0.250
15,526,1024,0.5137,21.338,46.865,0,0.250
16,527,1024,0.5146,21.381,46.770,0,0.250
17,528,1024,0.5156,21.077,47.445,0,0.250
18,529,1024,0.5166,21.520,46.468,0,0.250
19,530,1024,0.5176,21.232,47.099,0,0.250
20,531,1024,0.5186,21.149,47.284,0,0.250
21,532,1024,0.5195,21.597,46.303,0,0.250
22,533,1024,0.5205,21.413,46.701,0,0.250
23,534,1024,0.5215,21.328,46.887,0,0.250
24,535,1024,0.5225,21.311,46.924,0,0.250
25,536,1024,0.5234,21.035,47.540,0,0.250
26,537,1024,0.5244,21.270,47.015,0,0.250
27,538,1024,0.5254,21.335,46.871,0,0.250
28,539,1024,0.5264,21.073,47.454,0,0.250
29,540,1024,0.5273,21.330,46.882,0,0.250
30,541,1024,0.5283,21.292,46.966,0,0.250
31,542,1024,0.5293,21.118,47.353,0,0.250
32,543,1024,0.5303,21.335,46.871,0,0.250
33,544,1024,0.5312,21.230,47.103,0,0.250
34,545,1024,0.5322,21.358,46.821,0,0.250
35,546,1024,0.5332,21.230,47.103,0,0.250
36,547,1024,0.5342,21.897,45.668,0,0.250
37,548,1024,0.5352,22.343,44.757,0,0.250
38,549,1024,0.5361,21.433,46.657,0,0.250
39,550,1024,0.5371,21.071,47.459,0,0.250
40,551,1024,0.5381,21.329,46.885,0,0.250
41,552,1024,0.5391,21.150,47.281,0,0.250
42,553,1024,0.5400,20.798,48.082,0,0.250
43,554,1024,0.5410,21.278,46.997,0,0.250
44,555,1024,0.5420,21.358,46.821,0,0.250
45,556,1024,0.5430,21.136,47.313,0,0.250
46,557,1024,0.5439,21.296,46.957,0,0.250
47,558,1024,0.5449,21.090,47.416,0,0.250
48,559,1024,0.5459,21.342,46.856,0,0.250
49,560,1024,0.5469,21.327,46.889,0,0.250
50,561,1024,0.5479,21.163,47.252,0,0.250
51,562,1024,0.5488,21.424,46.677,0,0.250
52,563,1024,0.5498,21.866,45.733,0,0.250
53,564,1024,0.5508,21.145,47.293,0,0.250
54,565,1024,0.5518,21.266,47.023,0,0.250
55,566,1024,0.5527,21.276,47.001,0,0.250
56,567,1024,0.5537,21.127,47.333,0,0.250
57,568,1024,0.5547,21.338,46.865,0,0.250
58,569,1024,0.5557,21.342,46.856,0,0.250
59,570,1024,0.5566,21.115,47.360,0,0.250
60,571,1024,0.5576,21.319,46.907,0,0.250
61,572,1024,0.5586,21.103,47.387,0,0.250
62,573,1024,0.5596,21.314,46.918,0,0.250
63,574,1024,0.5605,21.117,47.355,0,0.250
64,575,1024,0.5615,20.950,47.733,0,0.250
65,576,1024,0.5625,21.664,46.160,0,0.250
66,577,1024,0.5635,21.711,46.060,0,0.250
67,578,1024,0.5645,21.205,47.159,0,0.250
68,579,1024,0.5654,21.491,46.531,0,0.250
69,580,1024,0.5664,21.539,46.427,0,0.250
70,581,1024,0.5674,21.279,46.995,0,0.250
71,582,1024,0.5684,21.419,46.688,0,0.250
72,583,1024,0.5693,21.442,46.637,0,0.250
73,584,1024,0.5703,21.185,47.203,0,0.250
74,585,1024,0.5713,21.503,46.505,0,0.250
75,586,1024,0.5723,21.251,47.057,0,0.250
76,587,1024,0.5732,21.422,46.681,0,0.250
77,588,1024,0.5742,21.537,46.432,0,0.250
78,589,1024,0.5752,21.273,47.008,0,0.250
79,590,1024,0.5762,21.557,46.389,0,0.250
80,591,1024,0.5771,21.599,46.298,0,0.250
81,592,1024,0.5781,21.784,45.905,0,0.250
82,593,1024,0.5791,21.683,46.119,0,0.250
83,594,1024,0.5801,21.606,46.283,0,0.250
