step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
122,633,1024,0.6182,22.055,45.341,0,0.000
123,634,1024,0.6191,22.516,44.413,0,0.000
124,635,1024,0.6201,22.420,44.603,0,0.000
125,636,1024,0.6211,22.154,45.139,0,0.000
126,637,1024,0.6221,22.632,44.185,0,0.000
127,638,1024,0.6230,22.710,44.033,0,0.000
128,639,1024,0.6240,22.348,44.747,0,0.000
129,640,1024,0.6250,22.774,43.910,0,0.000
130,641,1024,0.6260,22.999,43.480,0,0.000
131,642,1024,0.6270,22.824,43.814,0,0.000
132,643,1024,0.6279,22.760,43.937,0,0.000
133,644,1024,0.6289,23.051,43.382,0,0.000
134,645,1024,0.6299,23.160,43.178,0,0.000
135,646,1024,0.6309,22.801,43.858,0,0.000
136,647,1024,0.6318,23.172,43.156,0,0.000
137,648,1024,0.6328,23.122,43.249,0,0.000
138,649,1024,0.6338,22.962,43.550,0,0.000
139,650,1024,0.6348,23.298,42.922,0,0.000
140,651,1024,0.6357,23.130,43.234,0,0.000
141,652,1024,0.6367,22.999,43.480,0,0.000
142,653,1024,0.6377,23.300,42.918,0,0.000
143,654,1024,0.6387,23.080,43.328,0,0.000
144,655,1024,0.6396,23.080,43.328,0,0.000
145,656,1024,0.6406,23.312,42.896,0,0.000
146,657,1024,0.6416,25.176,39.720,0,0.000
147,658,1024,0.6426,24.141,41.423,0,0.000
148,659,1024,0.6436,23.742,42.119,0,0.000
149,660,1024,0.6445,24.042,41.594,0,0.000
150,661,1024,0.6455,24.048,41.583,0,0.000
151,662,1024,0.6465,24.205,41.314,0,0.000
152,663,1024,0.6475,24.031,41.613,0,0.000
153,664,1024,0.6484,24.276,41.193,0,0.000
154,665,1024,0.6494,24.497,40.821,0,0.000
155,666,1024,0.6504,24.463,40.878,0,0.000
156,667,1024,0.6514,24.264,41.213,0,0.000
157,668,1024,0.6523,24.469,40.868,0,0.000
158,669,1024,0.6533,24.561,40.715,0,0.000
159,670,1024,0.6543,24.664,40.545,0,0.000
160,671,1024,0.6553,24.240,41.254,0,0.000
161,672,1024,0.6562,24.538,40.753,0,0.000
162,673,1024,0.6572,24.647,40.573,0,0.000
163,674,1024,0.6582,24.467,40.871,0,0.000
164,675,1024,0.6592,24.642,40.581,0,0.000
165,676,1024,0.6602,24.954,40.074,0,0.000
166,677,1024,0.6611,24.968,40.051,0,0.000
167,678,1024,0.6621,24.695,40.494,0,0.000
168,679,1024,0.6631,24.752,40.401,0,0.000
169,680,1024,0.6641,24.946,40.087,0,0.000
170,681,1024,0.6650,24.955,40.072,0,0.000
171,682,1024,0.6660,24.681,40.517,0,0.000
172,683,1024,0.6670,24.693,40.497,0,0.000
173,684,1024,0.6680,25.171,39.728,0,0.000
174,685,1024,0.6689,25.294,39.535,0,0.000
175,686,1024,0.6699,25.176,39.720,0,0.000
176,687,1024,0.6709,25.015,39.976,0,0.000
177,688,1024,0.6719,25.202,39.679,0,0.000
178,689,1024,0.6729,25.230,39.635,0,0.000
179,690,1024,0.6738,25.258,39.591,0,0.000
180,691,1024,0.6748,24.829,40.275,0,0.000
181,692,1024,0.6758,25.133,39.788,0,0.000
182,693,1024,0.6768,25.116,39.815,0,0.000
183,694,1024,0.6777,25.231,39.634,0,0.000
184,695,1024,0.6787,24.903,40.156,0,0.000
185,696,1024,0.6797,25.273,39.568,0,0.000
186,697,1024,0.6807,25.361,39.431,0,0.000
187,698,1024,0.6816,24.937,40.101,0,0.000
188,699,1024,0.6826,24.749,40.406,0,0.000
189,700,1024,0.6836,25.022,39.965,0,0.000
