step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
95,1024,1024,1.0000,26.367,37.926,1,0.000,0
96,1024,1024,1.0000,26.366,37.928,1,0.000,0
97,1024,1024,1.0000,26.981,37.063,1,0.000,0
98,1024,1024,1.0000,26.752,37.380,1,0.000,0
99,1024,1024,1.0000,26.629,37.553,1,0.000,0
100,1024,1024,1.0000,27.339,36.578,1,0.000,0
101,1024,1024,1.0000,27.261,36.682,1,0.000,0
102,1024,1024,1.0000,27.527,36.328,1,0.000,0
103,1024,1024,1.0000,28.045,35.657,1,0.000,0
104,1024,1024,1.0000,27.626,36.198,1,0.000,0
105,1024,1024,1.0000,26.227,38.129,1,0.000,0
106,1024,1024,1.0000,26.875,37.209,1,0.000,0
107,1024,1024,1.0000,26.681,37.480,1,0.000,0
108,1024,1024,1.0000,26.822,37.283,1,0.000,0
109,1024,1024,1.0000,26.223,38.134,1,0.000,0
110,1024,1024,1.0000,26.094,38.323,1,0.000,0
111,1024,1024,1.0000,27.092,36.911,1,0.000,0
112,1024,1024,1.0000,27.158,36.822,1,0.000,0
113,1024,1024,1.0000,27.426,36.462,1,0.000,0
114,1024,1024,1.0000,26.399,37.880,1,0.000,0
115,1024,1024,1.0000,26.929,37.135,1,0.000,0
116,1024,1024,1.0000,27.152,36.830,1,0.000,0
117,1024,1024,1.0000,27.185,36.785,1,0.000,0
118,1024,1024,1.0000,26.779,37.343,1,0.000,0
119,1024,1024,1.0000,27.084,36.922,1,0.000,0
120,1024,1024,1.0000,27.118,36.876,1,0.000,0
121,1024,1024,1.0000,27.016,37.015,1,0.000,0
122,1024,1024,1.0000,27.238,36.713,1,0.000,0
123,1024,1024,1.0000,27.067,36.945,1,0.000,0
124,1024,1024,1.0000,27.650,36.166,1,0.000,0
125,1024,1024,1.0000,27.302,36.627,1,0.000,0
126,1024,1024,1.0000,27.156,36.824,1,0.000,0
127,1024,1024,1.0000,27.399,36.498,1,0.000,0
128,1024,1024,1.0000,27.012,37.021,1,0.000,0
129,1024,1024,1.0000,26.642,37.535,1,0.000,0
130,1024,1024,1.0000,27.209,36.753,1,0.000,0
131,1024,1024,1.0000,26.786,37.333,1,0.000,0
132,1024,1024,1.0000,27.226,36.730,1,0.000,0
133,1024,1024,1.0000,26.769,37.357,1,0.000,0
134,1024,1024,1.0000,27.305,36.623,1,0.000,0
135,1024,1024,1.0000,27.303,36.626,1,0.000,0
136,1024,1024,1.0000,27.517,36.341,1,0.000,0
137,1024,1024,1.0000,27.327,36.594,1,0.000,0
138,1024,1024,1.0000,27.361,36.548,1,0.000,0
139,1024,1024,1.0000,27.171,36.804,1,0.000,0
140,1024,1024,1.0000,27.173,36.801,1,0.000,0
141,1024,1024,1.0000,27.217,36.742,1,0.000,0
142,1024,1024,1.0000,26.925,37.140,1,0.000,0
143,1024,1024,1.0000,27.032,36.993,1,0.000,0
144,1024,1024,1.0000,27.152,36.830,1,0.000,0
145,1024,1024,1.0000,27.136,36.851,1,0.000,0
146,1024,1024,1.0000,27.417,36.474,1,0.000,0
147,1024,1024,1.0000,27.356,36.555,1,0.000,0
148,1024,1024,1.0000,27.531,36.323,1,0.000,0
149,1024,1024,1.0000,27.967,35.756,1,0.000,0
