prompt,arm,steps,max_eps,min_slack,steps_at_risk,actual_flips,eps_q1,eps_q2,eps_q3,eps_q4,eps_r_vs_step,ref_min_margin
passkey,p3_cpu_c1024,512,1.9919624328613281,-0.046466827392578125,6,0,0.02872387459501624,0.03611305495724082,0.05051967524923384,0.08449914318043739,0.16235464144655132,0.008787155151367188
passkey,p3_dev_c1024,512,0.17257308959960938,-0.03499794006347656,1,0,0.012702636886388063,0.011063579004257917,0.011622529244050384,0.01111978036351502,-0.05831282404295936,0.008787155151367188
passkey,p4_h2o_c1024,512,33.48923110961914,-59.4051399230957,500,482,15.496146176941693,17.971167765557766,19.02043156698346,18.860807195305824,0.2409225189457318,0.008787155151367188
prose,p3_cpu_c1024,512,2.1842637062072754,-0.025350093841552734,2,0,0.01912192557938397,0.053202544106170535,0.04613692965358496,0.04135801247321069,0.06210160092438983,0.0010805130004882812
prose,p3_dev_c1024,512,0.2805976867675781,-0.007107734680175781,1,0,0.00742142484523356,0.009003174374811351,0.007387019461020827,0.00779735017567873,-0.001958872256626194,0.0010805130004882812
prose,p4_h2o_c1024,512,45.115909576416016,-73.87000274658203,464,348,8.914250837638974,16.437076025642455,20.129102304577827,23.89799477159977,0.575117524074921,0.0010805130004882812
