prompt,arm,steps,max_abs_dlogit,at_step,steps_bit_identical,tokens_matching,n_vocab
passkey,p3_cpu_c1024,512,0.03328061103820801,224,0,512,128256
passkey,p3_dev_c1024,512,0.014552831649780273,176,0,512,128256
passkey,p4_h2o_c1024,512,27.79176616668701,318,0,37,128256
prose,p3_cpu_c1024,512,33.434361815452576,414,0,388,128256
prose,p3_dev_c1024,512,0.020390987396240234,130,0,512,128256
prose,p4_h2o_c1024,512,33.688114643096924,364,0,72,128256
