step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha
1,512,2048,0.2500,1298.372,394.340,0,0.000
2,513,2048,0.2505,24.846,40.248,0,0.000
3,514,2048,0.2510,23.140,43.215,0,0.000
4,515,2048,0.2515,23.418,42.702,0,0.000
5,516,2048,0.2520,23.316,42.889,0,0.000
6,517,2048,0.2524,23.620,42.337,0,0.000
7,518,2048,0.2529,23.222,43.063,0,0.000
8,519,2048,0.2534,23.104,43.283,0,0.000
9,520,2048,0.2539,23.443,42.657,0,0.000
10,521,2048,0.2544,23.336,42.852,0,0.000
11,522,2048,0.2549,23.410,42.717,0,0.000
12,523,2048,0.2554,23.198,43.107,0,0.000
13,524,2048,0.2559,23.798,42.020,0,0.000
14,525,2048,0.2563,23.472,42.604,0,0.000
15,526,2048,0.2568,23.851,41.927,0,0.000
16,527,2048,0.2573,23.587,42.396,0,0.000
17,528,2048,0.2578,23.650,42.283,0,0.000
18,529,2048,0.2583,23.687,42.217,0,0.000
19,530,2048,0.2588,23.445,42.653,0,0.000
20,531,2048,0.2593,23.413,42.711,0,0.000
21,532,2048,0.2598,23.633,42.314,0,0.000
22,533,2048,0.2603,24.022,41.629,0,0.000
23,534,2048,0.2607,23.838,41.950,0,0.000
24,535,2048,0.2612,23.554,42.456,0,0.000
25,536,2048,0.2617,23.172,43.156,0,0.000
26,537,2048,0.2622,23.213,43.079,0,0.000
27,538,2048,0.2627,23.987,41.689,0,0.000
28,539,2048,0.2632,23.627,42.324,0,0.000
29,540,2048,0.2637,22.982,43.512,0,0.000
30,541,2048,0.2642,23.626,42.326,0,0.000
31,542,2048,0.2646,23.386,42.761,0,0.000
32,543,2048,0.2651,23.395,42.744,0,0.000
33,544,2048,0.2656,23.586,42.398,0,0.000
34,545,2048,0.2661,23.726,42.148,0,0.000
35,546,2048,0.2666,23.368,42.794,0,0.000
36,547,2048,0.2671,23.214,43.077,0,0.000
37,548,2048,0.2676,23.780,42.052,0,0.000
38,549,2048,0.2681,23.824,41.974,0,0.000
39,550,2048,0.2686,23.190,43.122,0,0.000
40,551,2048,0.2690,23.810,41.999,0,0.000
41,552,2048,0.2695,23.604,42.366,0,0.000
42,553,2048,0.2700,23.930,41.789,0,0.000
43,554,2048,0.2705,23.289,42.939,0,0.000
44,555,2048,0.2710,23.987,41.689,0,0.000
45,556,2048,0.2715,23.640,42.301,0,0.000
46,557,2048,0.2720,23.294,42.930,0,0.000
47,558,2048,0.2725,23.485,42.580,0,0.000
48,559,2048,0.2729,23.560,42.445,0,0.000
49,560,2048,0.2734,23.493,42.566,0,0.000
50,561,2048,0.2739,23.712,42.173,0,0.000
51,562,2048,0.2744,23.499,42.555,0,0.000
52,563,2048,0.2749,23.566,42.434,0,0.000
53,564,2048,0.2754,22.907,43.655,0,0.000
54,565,2048,0.2759,23.923,41.801,0,0.000
55,566,2048,0.2764,23.937,41.776,0,0.000
56,567,2048,0.2769,23.719,42.160,0,0.000
57,568,2048,0.2773,23.287,42.942,0,0.000
58,569,2048,0.2778,23.698,42.198,0,0.000
59,570,2048,0.2783,23.423,42.693,0,0.000
60,571,2048,0.2788,23.065,43.356,0,0.000
61,572,2048,0.2793,23.411,42.715,0,0.000
62,573,2048,0.2798,24.064,41.556,0,0.000
63,574,2048,0.2803,23.322,42.878,0,0.000
64,575,2048,0.2808,23.355,42.817,0,0.000
65,576,2048,0.2812,23.341,42.843,0,0.000
66,577,2048,0.2817,23.591,42.389,0,0.000
67,578,2048,0.2822,23.706,42.183,0,0.000
68,579,2048,0.2827,23.495,42.562,0,0.000
69,580,2048,0.2832,23.553,42.457,0,0.000
70,581,2048,0.2837,23.143,43.210,0,0.000
71,582,2048,0.2842,23.651,42.282,0,0.000
72,583,2048,0.2847,23.251,43.009,0,0.000
73,584,2048,0.2852,23.528,42.503,0,0.000
74,585,2048,0.2856,23.503,42.548,0,0.000
75,586,2048,0.2861,24.163,41.386,0,0.000
76,587,2048,0.2866,23.360,42.808,0,0.000
77,588,2048,0.2871,23.312,42.896,0,0.000
78,589,2048,0.2876,23.715,42.167,0,0.000
79,590,2048,0.2881,23.966,41.726,0,0.000
80,591,2048,0.2886,23.868,41.897,0,0.000
81,592,2048,0.2891,23.214,43.077,0,0.000
82,593,2048,0.2896,23.808,42.003,0,0.000
83,594,2048,0.2900,23.591,42.389,0,0.000
84,595,2048,0.2905,23.070,43.346,0,0.000
85,596,2048,0.2910,23.885,41.867,0,0.000
86,597,2048,0.2915,24.006,41.656,0,0.000
87,598,2048,0.2920,23.555,42.454,0,0.000
88,599,2048,0.2925,23.167,43.165,0,0.000
89,600,2048,0.2930,23.222,43.063,0,0.000
90,601,2048,0.2935,23.671,42.246,0,0.000
91,602,2048,0.2939,23.191,43.120,0,0.000
92,603,2048,0.2944,23.610,42.355,0,0.000
93,604,2048,0.2949,23.713,42.171,0,0.000
94,605,2048,0.2954,23.566,42.434,0,0.000
95,606,2048,0.2959,23.774,42.063,0,0.000
96,607,2048,0.2964,23.326,42.871,0,0.000
97,608,2048,0.2969,23.373,42.784,0,0.000
98,609,2048,0.2974,23.166,43.167,0,0.000
99,610,2048,0.2979,24.118,41.463,0,0.000
100,611,2048,0.2983,23.413,42.711,0,0.000
101,612,2048,0.2988,23.464,42.618,0,0.000
102,613,2048,0.2993,23.476,42.597,0,0.000
103,614,2048,0.2998,23.658,42.269,0,0.000
104,615,2048,0.3003,24.004,41.660,0,0.000
105,616,2048,0.3008,23.258,42.996,0,0.000
106,617,2048,0.3013,24.038,41.601,0,0.000
107,618,2048,0.3018,23.633,42.314,0,0.000
108,619,2048,0.3022,23.076,43.335,0,0.000
109,620,2048,0.3027,23.324,42.874,0,0.000
110,621,2048,0.3032,23.385,42.762,0,0.000
111,622,2048,0.3037,23.809,42.001,0,0.000
112,623,2048,0.3042,23.280,42.955,0,0.000
113,624,2048,0.3047,23.508,42.539,0,0.000
114,625,2048,0.3052,23.329,42.865,0,0.000
115,626,2048,0.3057,23.293,42.931,0,0.000
116,627,2048,0.3062,23.492,42.568,0,0.000
117,628,2048,0.3066,23.417,42.704,0,0.000
118,629,2048,0.3071,23.112,43.268,0,0.000
119,630,2048,0.3076,24.360,41.051,0,0.000
120,631,2048,0.3081,23.733,42.135,0,0.000
121,632,2048,0.3086,23.445,42.653,0,0.000
122,633,2048,0.3091,23.267,42.979,0,0.000
123,634,2048,0.3096,23.753,42.100,0,0.000
124,635,2048,0.3101,23.818,41.985,0,0.000
125,636,2048,0.3105,23.500,42.553,0,0.000
126,637,2048,0.3110,23.096,43.298,0,0.000
127,638,2048,0.3115,23.680,42.230,0,0.000
128,639,2048,0.3120,23.449,42.646,0,0.000
129,640,2048,0.3125,23.390,42.753,0,0.000
130,641,2048,0.3130,23.464,42.618,0,0.000
131,642,2048,0.3135,23.613,42.350,0,0.000
132,643,2048,0.3140,23.168,43.163,0,0.000
133,644,2048,0.3145,24.338,41.088,0,0.000
134,645,2048,0.3149,23.261,42.990,0,0.000
135,646,2048,0.3154,23.417,42.704,0,0.000
136,647,2048,0.3159,23.446,42.651,0,0.000
137,648,2048,0.3164,23.484,42.582,0,0.000
138,649,2048,0.3169,23.212,43.081,0,0.000
139,650,2048,0.3174,23.150,43.197,0,0.000
140,651,2048,0.3179,23.525,42.508,0,0.000
141,652,2048,0.3184,23.620,42.337,0,0.000
142,653,2048,0.3188,23.728,42.144,0,0.000
143,654,2048,0.3193,23.298,42.922,0,0.000
144,655,2048,0.3198,24.527,40.771,0,0.000
145,656,2048,0.3203,27.076,36.933,0,0.000
146,657,2048,0.3208,23.767,42.075,0,0.000
147,658,2048,0.3213,23.269,42.976,0,0.000
148,659,2048,0.3218,23.638,42.305,0,0.000
149,660,2048,0.3223,23.537,42.486,0,0.000
150,661,2048,0.3228,23.451,42.642,0,0.000
