step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1193.349,429.045,0,0.000,0
2,1024,1024,1.0000,1207.206,424.120,0,0.000,0
3,1024,1024,1.0000,2172.537,235.669,1,0.000,512
4,1024,1024,1.0000,2440.457,209.797,1,0.000,1024
5,1024,1024,1.0000,2796.469,183.088,1,0.000,1536
6,1024,1024,1.0000,3060.143,167.312,1,0.000,2048
7,1024,1024,1.0000,3421.193,149.655,1,0.000,2560
8,1024,1024,1.0000,3827.791,133.759,1,0.000,3072
9,1024,1024,1.0000,4452.472,114.992,1,0.000,3584
10,1024,1024,1.0000,5009.516,102.205,1,0.000,4096
11,1024,1024,1.0000,5386.932,95.045,1,0.000,4608
12,1024,1024,1.0000,5642.569,90.739,1,0.000,5120
13,1024,1024,1.0000,6175.725,82.905,1,0.000,5632
14,1024,1024,1.0000,6591.455,77.676,1,0.000,6144
15,1024,1024,1.0000,6957.669,73.588,1,0.000,6656
16,1024,1024,1.0000,7358.858,69.576,1,0.000,7168
17,1024,1024,1.0000,7634.261,67.066,1,0.000,7680
18,1024,1024,1.0000,8026.305,63.790,1,0.000,8192
19,1024,1024,1.0000,59.137,16.910,1,0.000,8193
20,1024,1024,1.0000,56.657,17.650,1,0.000,8194
21,1024,1024,1.0000,77.512,12.901,1,0.000,8195
22,1024,1024,1.0000,163.553,6.114,1,0.000,8196
23,1024,1024,1.0000,55.095,18.150,1,0.000,8197
24,1024,1024,1.0000,59.735,16.741,1,0.000,8198
25,1024,1024,1.0000,67.468,14.822,1,0.000,8199
26,1024,1024,1.0000,55.512,18.014,1,0.000,8200
27,1024,1024,1.0000,55.316,18.078,1,0.000,8201
28,1024,1024,1.0000,55.566,17.997,1,0.000,8202
29,1024,1024,1.0000,55.077,18.156,1,0.000,8203
30,1024,1024,1.0000,55.337,18.071,1,0.000,8204
31,1024,1024,1.0000,55.643,17.972,1,0.000,8205
32,1024,1024,1.0000,55.504,18.017,1,0.000,8206
33,1024,1024,1.0000,55.805,17.920,1,0.000,8207
34,1024,1024,1.0000,54.717,18.276,1,0.000,8208
35,1024,1024,1.0000,59.818,16.717,1,0.000,8209
36,1024,1024,1.0000,55.328,18.074,1,0.000,8210
37,1024,1024,1.0000,55.071,18.158,1,0.000,8211
38,1024,1024,1.0000,55.111,18.145,1,0.000,8212
39,1024,1024,1.0000,54.858,18.229,1,0.000,8213
40,1024,1024,1.0000,54.818,18.242,1,0.000,8214
41,1024,1024,1.0000,54.625,18.307,1,0.000,8215
42,1024,1024,1.0000,54.774,18.257,1,0.000,8216
43,1024,1024,1.0000,55.247,18.101,1,0.000,8217
44,1024,1024,1.0000,55.332,18.073,1,0.000,8218
