step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1178.841,434.325,0,0.000,0
2,1024,1024,1.0000,1195.037,428.439,0,0.000,0
3,1024,1024,1.0000,2148.713,238.282,1,0.000,512
4,1024,1024,1.0000,2430.577,210.650,1,0.000,1024
5,1024,1024,1.0000,2782.177,184.029,1,0.000,1536
6,1024,1024,1.0000,3050.260,167.855,1,0.000,2048
7,1024,1024,1.0000,3395.672,150.780,1,0.000,2560
8,1024,1024,1.0000,3833.330,133.565,1,0.000,3072
9,1024,1024,1.0000,4142.099,123.609,1,0.000,3584
10,1024,1024,1.0000,4755.641,107.662,1,0.000,4096
11,1024,1024,1.0000,52.915,18.898,1,0.000,4097
12,1024,1024,1.0000,43.096,23.204,1,0.000,4098
13,1024,1024,1.0000,53.674,18.631,1,0.000,4099
14,1024,1024,1.0000,42.827,23.350,1,0.000,4100
15,1024,1024,1.0000,53.375,18.735,1,0.000,4101
16,1024,1024,1.0000,43.225,23.135,1,0.000,4102
17,1024,1024,1.0000,43.566,22.954,1,0.000,4103
18,1024,1024,1.0000,53.389,18.730,1,0.000,4104
19,1024,1024,1.0000,42.780,23.375,1,0.000,4105
20,1024,1024,1.0000,43.217,23.139,1,0.000,4106
21,1024,1024,1.0000,43.695,22.886,1,0.000,4107
22,1024,1024,1.0000,43.299,23.095,1,0.000,4108
23,1024,1024,1.0000,42.995,23.259,1,0.000,4109
24,1024,1024,1.0000,43.581,22.946,1,0.000,4110
25,1024,1024,1.0000,43.272,23.110,1,0.000,4111
26,1024,1024,1.0000,43.391,23.046,1,0.000,4112
27,1024,1024,1.0000,43.387,23.048,1,0.000,4113
28,1024,1024,1.0000,52.815,18.934,1,0.000,4114
29,1024,1024,1.0000,42.780,23.375,1,0.000,4115
30,1024,1024,1.0000,53.380,18.734,1,0.000,4116
31,1024,1024,1.0000,43.557,22.958,1,0.000,4117
32,1024,1024,1.0000,66.468,15.045,1,0.000,4118
33,1024,1024,1.0000,43.004,23.254,1,0.000,4119
34,1024,1024,1.0000,45.372,22.040,1,0.000,4120
