step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
95,1024,1024,1.0000,27.434,36.451,1,0.000,604
96,1024,1024,1.0000,27.343,36.572,1,0.000,605
97,1024,1024,1.0000,27.165,36.812,1,0.000,606
98,1024,1024,1.0000,27.445,36.437,1,0.000,607
99,1024,1024,1.0000,27.230,36.724,1,0.000,608
100,1024,1024,1.0000,27.281,36.656,1,0.000,609
101,1024,1024,1.0000,27.366,36.542,1,0.000,610
102,1024,1024,1.0000,27.281,36.656,1,0.000,611
103,1024,1024,1.0000,27.370,36.536,1,0.000,612
104,1024,1024,1.0000,27.273,36.666,1,0.000,613
105,1024,1024,1.0000,27.169,36.807,1,0.000,614
106,1024,1024,1.0000,27.366,36.542,1,0.000,615
107,1024,1024,1.0000,27.259,36.685,1,0.000,616
108,1024,1024,1.0000,27.399,36.498,1,0.000,617
109,1024,1024,1.0000,27.437,36.447,1,0.000,618
110,1024,1024,1.0000,27.251,36.696,1,0.000,619
111,1024,1024,1.0000,27.963,35.762,1,0.000,620
112,1024,1024,1.0000,27.209,36.753,1,0.000,621
113,1024,1024,1.0000,27.306,36.622,1,0.000,622
114,1024,1024,1.0000,27.263,36.680,1,0.000,623
115,1024,1024,1.0000,27.156,36.824,1,0.000,624
116,1024,1024,1.0000,27.253,36.693,1,0.000,625
117,1024,1024,1.0000,27.220,36.738,1,0.000,626
118,1024,1024,1.0000,27.200,36.765,1,0.000,627
119,1024,1024,1.0000,27.265,36.677,1,0.000,628
120,1024,1024,1.0000,27.256,36.689,1,0.000,629
121,1024,1024,1.0000,27.300,36.630,1,0.000,630
122,1024,1024,1.0000,27.200,36.765,1,0.000,631
123,1024,1024,1.0000,27.368,36.539,1,0.000,632
124,1024,1024,1.0000,27.332,36.587,1,0.000,633
125,1024,1024,1.0000,27.374,36.531,1,0.000,634
126,1024,1024,1.0000,27.378,36.526,1,0.000,635
127,1024,1024,1.0000,27.222,36.735,1,0.000,636
128,1024,1024,1.0000,27.432,36.454,1,0.000,637
129,1024,1024,1.0000,27.310,36.617,1,0.000,638
130,1024,1024,1.0000,27.396,36.502,1,0.000,639
