step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1188.239,430.890,0,0.000,0
2,1024,1024,1.0000,1206.263,424.451,0,0.000,0
3,1024,1024,1.0000,2172.752,235.646,1,0.000,512
4,1024,1024,1.0000,2479.373,206.504,1,0.000,1024
5,1024,1024,1.0000,2859.993,179.021,1,0.000,1536
6,1024,1024,1.0000,3164.060,161.817,1,0.000,2048
7,1024,1024,1.0000,62.226,16.070,1,0.000,2049
8,1024,1024,1.0000,71.258,14.034,1,0.000,2050
9,1024,1024,1.0000,41.138,24.308,1,0.000,2051
10,1024,1024,1.0000,38.061,26.274,1,0.000,2052
11,1024,1024,1.0000,37.634,26.572,1,0.000,2053
12,1024,1024,1.0000,38.780,25.786,1,0.000,2054
13,1024,1024,1.0000,37.692,26.531,1,0.000,2055
14,1024,1024,1.0000,37.796,26.458,1,0.000,2056
15,1024,1024,1.0000,37.639,26.568,1,0.000,2057
16,1024,1024,1.0000,37.286,26.820,1,0.000,2058
17,1024,1024,1.0000,37.289,26.818,1,0.000,2059
18,1024,1024,1.0000,37.148,26.919,1,0.000,2060
19,1024,1024,1.0000,37.652,26.559,1,0.000,2061
20,1024,1024,1.0000,40.135,24.916,1,0.000,2062
21,1024,1024,1.0000,37.820,26.441,1,0.000,2063
22,1024,1024,1.0000,47.744,20.945,1,0.000,2064
23,1024,1024,1.0000,37.259,26.839,1,0.000,2065
24,1024,1024,1.0000,37.562,26.623,1,0.000,2066
25,1024,1024,1.0000,37.861,26.412,1,0.000,2067
26,1024,1024,1.0000,37.502,26.665,1,0.000,2068
27,1024,1024,1.0000,37.490,26.674,1,0.000,2069
28,1024,1024,1.0000,37.276,26.827,1,0.000,2070
29,1024,1024,1.0000,37.672,26.545,1,0.000,2071
30,1024,1024,1.0000,37.364,26.764,1,0.000,2072
31,1024,1024,1.0000,37.391,26.744,1,0.000,2073
32,1024,1024,1.0000,37.234,26.857,1,0.000,2074
33,1024,1024,1.0000,37.400,26.738,1,0.000,2075
34,1024,1024,1.0000,37.357,26.769,1,0.000,2076
35,1024,1024,1.0000,37.824,26.438,1,0.000,2077
36,1024,1024,1.0000,38.028,26.296,1,0.000,2078
37,1024,1024,1.0000,37.646,26.563,1,0.000,2079
38,1024,1024,1.0000,38.540,25.947,1,0.000,2080
39,1024,1024,1.0000,50.396,19.843,1,0.000,2081
40,1024,1024,1.0000,39.063,25.600,1,0.000,2082
41,1024,1024,1.0000,37.707,26.520,1,0.000,2083
42,1024,1024,1.0000,37.229,26.861,1,0.000,2084
43,1024,1024,1.0000,37.403,26.736,1,0.000,2085
44,1024,1024,1.0000,37.294,26.814,1,0.000,2086
45,1024,1024,1.0000,37.990,26.323,1,0.000,2087
46,1024,1024,1.0000,37.864,26.410,1,0.000,2088
47,1024,1024,1.0000,37.353,26.772,1,0.000,2089
48,1024,1024,1.0000,37.707,26.520,1,0.000,2090
