step,kv_used,kv_total,kv_ratio,ttft_ms,tok_per_sec,shift_events,alpha,n_spilled
1,512,1024,0.5000,1190.833,429.951,0,0.000,0
2,513,1024,0.5010,25.233,39.631,0,0.000,0
3,514,1024,0.5020,23.221,43.064,0,0.000,0
4,515,1024,0.5029,23.632,42.316,0,0.000,0
5,516,1024,0.5039,22.964,43.546,0,0.000,0
6,517,1024,0.5049,23.019,43.442,0,0.000,0
7,518,1024,0.5059,23.895,41.850,0,0.000,0
8,519,1024,0.5068,23.306,42.907,0,0.000,0
9,520,1024,0.5078,23.536,42.488,0,0.000,0
10,521,1024,0.5088,23.326,42.871,0,0.000,0
11,522,1024,0.5098,23.135,43.225,0,0.000,0
12,523,1024,0.5107,23.501,42.551,0,0.000,0
13,524,1024,0.5117,23.162,43.174,0,0.000,0
14,525,1024,0.5127,23.272,42.970,0,0.000,0
15,526,1024,0.5137,23.061,43.363,0,0.000,0
16,527,1024,0.5146,24.058,41.566,0,0.000,0
17,528,1024,0.5156,23.489,42.573,0,0.000,0
18,529,1024,0.5166,22.958,43.558,0,0.000,0
19,530,1024,0.5176,23.207,43.090,0,0.000,0
20,531,1024,0.5186,23.087,43.314,0,0.000,0
21,532,1024,0.5195,23.073,43.341,0,0.000,0
22,533,1024,0.5205,23.230,43.048,0,0.000,0
23,534,1024,0.5215,23.063,43.359,0,0.000,0
24,535,1024,0.5225,23.795,42.026,0,0.000,0
25,536,1024,0.5234,22.964,43.546,0,0.000,0
26,537,1024,0.5244,23.576,42.416,0,0.000,0
27,538,1024,0.5254,23.251,43.009,0,0.000,0
28,539,1024,0.5264,23.162,43.174,0,0.000,0
29,540,1024,0.5273,23.444,42.655,0,0.000,0
30,541,1024,0.5283,23.692,42.208,0,0.000,0
31,542,1024,0.5293,23.598,42.376,0,0.000,0
32,543,1024,0.5303,23.197,43.109,0,0.000,0
33,544,1024,0.5312,23.021,43.439,0,0.000,0
34,545,1024,0.5322,23.384,42.764,0,0.000,0
35,546,1024,0.5332,23.246,43.018,0,0.000,0
36,547,1024,0.5342,22.627,44.195,0,0.000,0
37,548,1024,0.5352,23.607,42.360,0,0.000,0
38,549,1024,0.5361,23.148,43.200,0,0.000,0
39,550,1024,0.5371,22.813,43.835,0,0.000,0
40,551,1024,0.5381,23.651,42.282,0,0.000,0
41,552,1024,0.5391,23.040,43.403,0,0.000,0
42,553,1024,0.5400,22.897,43.674,0,0.000,0
43,554,1024,0.5410,23.892,41.855,0,0.000,0
44,555,1024,0.5420,23.329,42.865,0,0.000,0
45,556,1024,0.5430,23.021,43.439,0,0.000,0
46,557,1024,0.5439,23.300,42.918,0,0.000,0
47,558,1024,0.5449,22.960,43.554,0,0.000,0
48,559,1024,0.5459,23.517,42.522,0,0.000,0
49,560,1024,0.5469,23.241,43.027,0,0.000,0
50,561,1024,0.5479,23.076,43.335,0,0.000,0
51,562,1024,0.5488,23.167,43.165,0,0.000,0
52,563,1024,0.5498,23.407,42.722,0,0.000,0
